"AccountScore","Account Id","BillingState","CloseDate","Division","Industry","Ownership","Rating","StartDate","Type","CLV"
"B",52062,"New York","2015-09-02","Raw Materials","Technology","Private","Hot","2015-07-03","Competitor",19120
"E",1478,"California","2015-08-25","Compliance","Hospitality","Private","Warm","2015-06-29","Consulting",16220
"G",52515,"New York","2014-03-18","Raw Materials","Apparel","Public","Hot","2014-01-04","Customer",44330
"F",10766,"California","2015-04-17","Ground Vehicle","Manufacturing","Private","Hot","2015-02-02","Customer",21910
"B",714,"Texas","2015-08-27","Naval","Manufacturing","Public","Hot","2015-05-29","Customer",19180
"B",49081,"Texas","2014-10-31","Standard Hardware","Shipping","Public","Cold","2014-08-02","Customer",11230
"K",21377,"Texas","2015-09-20","Engine Parts","Consulting","Public","Cold","2015-08-31","Customer",22160
"I",5415,"California","2015-10-03","Standard Mounts","Retail","Private","Cold","2015-08-07","Customer",20200
"C",12737,"New York","2014-05-18","Ground Vehicle","Banking","Private","Cold","2014-03-17","Customer",19200
"A",54517,"California","2014-11-03","Navigation","Shipping","Public","Cold","2014-10-04","Customer",19640
"E",18469,"Texas","2014-12-12","Miniaturized Parts","Consulting","Private","Cold","2014-10-25","Customer",17890
"I",5371,"Texas","2014-04-26","Standard Mounts","Retail","Public","Cold","2014-03-11","Customer",19200
"A",43289,"California","2015-07-06","Standard Materials","Hospitality","Public","Cold","2015-06-14","Customer",19160
"B",9576,"Texas","2015-08-19","Ground Vehicle","Retail","Private","Warm","2015-06-08","Consulting",19200
"B",48378,"Texas","2014-09-19","Standard Hardware","Apparel","Private","Hot","2014-07-03","Partner",16230
"B",49559,"Texas","2015-05-23","Standard Hardware","Consulting","Public","Hot","2015-03-05","Customer",9230
"B",3814,"California","2016-02-18","Compliance","Hospitality","Public","Warm","2015-12-12","Consulting",23640
"F",3874,"California","2014-06-11","Compliance","Hospitality","Private","Hot","2014-03-31","Customer",18640
"A",42265,"Texas","2014-10-24","Standard Materials","Consulting","Public","Cold","2014-09-17","Partner",21160
"A",49594,"Texas","2014-04-09","Standard Hardware","Hospitality","Public","Warm","2014-02-14","Partner",13230
"B",6760,"Texas","2015-07-16","Mapping","Consulting","Private","Hot","2015-05-09","Customer",25700
"A",10680,"Boston","2014-06-10","Ground Vehicle","Banking","Public","Cold","2014-04-07","Customer",22200
"G",13900,"California","2015-09-20","Ground Vehicle","Shipping","Private","Hot","2015-08-01","Competitor",20910
"B",9081,"Texas","2015-04-04","Ground Vehicle","Apparel","Public","Hot","2015-02-05","Customer",20200
"C",54103,"Texas","2014-06-11","Navigation","Hospitality","Public","Warm","2014-05-11","Customer",19640
"E",17566,"Texas","2014-05-07","Ground Vehicle","Hospitality","Private","Warm","2014-03-13","Customer",19200
"I",50090,"Texas","2015-11-25","Standard Hardware","Retail","Private","Warm","2015-10-30","Consulting",22230
"D",21636,"Boston","2014-09-16","Engine Parts","Shipping","Public","Cold","2014-08-07","Customer",20160
"B",52725,"Texas","2014-07-13","Raw Materials","Manufacturing","Private","Hot","2014-04-27","Consulting",16120
"D",22485,"Texas","2014-03-06","Engine Parts","Banking","Public","Cold","2014-02-04","Customer",20640
"A",21728,"Texas","2015-12-18","Engine Parts","Consulting","Public","Cold","2015-11-29","Partner",20640
"A",41585,"Boston","2015-06-01","Standard Materials","Manufacturing","Public","Cold","2015-04-30","Reseller",19160
"G",8723,"California","2014-09-06","Ground Vehicle","Technology","Public","Cold","2014-07-13","Customer",19200
"H",51664,"Texas","2015-05-14","Raw Materials","Manufacturing","Private","Hot","2015-03-15","Consulting",18120
"A",10604,"Texas","2015-03-29","Ground Vehicle","Banking","Public","Cold","2015-02-08","Customer",19200
"E",17399,"Texas","2014-07-14","Ground Vehicle","Hospitality","Private","Warm","2014-05-18","Customer",19200
"G",3676,"Texas","2015-05-20","Compliance","Consulting","Private","Hot","2015-04-04","Consulting",21640
"F",9006,"California","2015-02-28","Ground Vehicle","Apparel","Public","Hot","2014-12-19","Customer",19200
"C",2044,"Texas","2014-06-27","Compliance","Retail","Private","Warm","2014-04-25","Consulting",17640
"C",21905,"Texas","2016-01-23","Engine Parts","Apparel","Public","Hot","2015-12-27","Competitor",20160
"G",49382,"New York","2015-08-31","Standard Hardware","Retail","Public","Warm","2015-07-12","Consulting",15230
"M",17845,"New York","2014-04-17","Ground Vehicle","Banking","Private","Cold","2014-02-19","Customer",19200
"G",43632,"New York","2015-08-01","Standard Materials","Manufacturing","Public","Hot","2015-06-28","Customer",19160
"F",745,"Texas","2015-11-01","Naval","Shipping","Private","Hot","2015-08-18","Customer",17880
"H",53974,"Texas","2015-03-15","Navigation","Biotechnology","Public","Hot","2015-02-15","Customer",19640
"D",48737,"California","2015-06-12","Standard Hardware","Retail","Public","Cold","2015-04-18","Partner",13230
"B",10007,"California","2015-09-17","Ground Vehicle","Hospitality","Public","Warm","2015-06-20","Consulting",24680
"D",15824,"Texas","2015-11-30","Ground Vehicle","Technology","Private","Warm","2015-10-08","Customer",19200
"A",18116,"Texas","2014-12-05","Ground Vehicle","Manufacturing","Public","Hot","2014-10-12","Customer",18680
"B",50787,"New York","2014-08-26","Standard Hardware","Retail","Public","Cold","2014-07-04","Consulting",21230
"G",756,"New York","2014-10-12","Naval","Technology","Public","Hot","2014-09-08","Competitor",23180
"D",16581,"Texas","2015-03-03","Ground Vehicle","Retail","Private","Cold","2015-01-08","Customer",19200
"F",10348,"Texas","2014-04-05","Ground Vehicle","Hospitality","Private","Warm","2014-01-21","Customer",19200
"K",41172,"Boston","2014-03-04","Standard Materials","Retail","Public","Cold","2014-01-26","Customer",20160
"F",52533,"Texas","2014-04-23","Raw Materials","Apparel","Private","Hot","2014-02-10","Competitor",20120
"C",2513,"Texas","2014-06-03","Compliance","Shipping","Public","Hot","2014-03-27","Customer",22220
"B",52428,"California","2014-10-12","Raw Materials","Technology","Public","Hot","2014-08-04","Customer",44120
"F",24172,"Texas","2014-07-07","Frames","Shipping","Public","Hot","2014-05-01","Customer",18910
"F",18607,"New York","2014-12-03","Miniaturized Parts","Manufacturing","Public","Hot","2014-09-08","Customer",23890
"F",50140,"Texas","2014-09-21","Standard Hardware","Retail","Public","Warm","2014-06-23","Partner",13230
"A",21644,"California","2014-11-03","Engine Parts","Shipping","Public","Cold","2014-10-06","Customer",20640
"B",7833,"Texas","2015-10-22","Mapping","Consulting","Public","Hot","2015-08-02","Competitor",19700
"M",43799,"Texas","2014-04-17","Standard Materials","Apparel","Public","Hot","2014-03-23","Competitor",19160
"G",8208,"New York","2015-09-30","Mapping","Technology","Private","Hot","2015-07-25","Customer",19700
"G",2100,"Texas","2015-08-25","Compliance","Consulting","Private","Cold","2015-07-15","Consulting",17220
"E",11299,"Texas","2015-01-04","Ground Vehicle","Apparel","Private","Hot","2014-11-04","Customer",19680
"F",8745,"New York","2014-06-16","Ground Vehicle","Technology","Public","Hot","2014-04-03","Customer",22910
"B",12930,"New York","2015-04-23","Ground Vehicle","Banking","Public","Cold","2015-02-01","Customer",19200
"J",41100,"Texas","2015-12-22","Standard Materials","Retail","Public","Cold","2015-11-12","Customer",21160
"B",52059,"California","2015-02-28","Raw Materials","Technology","Private","Hot","2014-12-09","Competitor",22120
"F",7563,"New York","2015-07-22","Mapping","Technology","Public","Hot","2015-04-30","Competitor",24060
"B",51801,"Texas","2014-10-28","Raw Materials","Biotechnology","Private","Hot","2014-08-15","Customer",17120
"F",49336,"Texas","2015-03-25","Standard Hardware","Retail","Public","Cold","2014-12-29","Partner",15230
"B",6686,"New York","2015-08-01","Mapping","Retail","Private","Hot","2015-05-23","Customer",22060
"G",50185,"New York","2015-07-20","Standard Hardware","Retail","Private","Cold","2015-05-31","Consulting",18230
"G",366,"Boston","2015-05-21","Naval","Consulting","Private","Hot","2015-03-31","Customer",30880
"B",49595,"New York","2016-02-02","Standard Hardware","Hospitality","Public","Warm","2015-11-14","Partner",16230
"A",42205,"Texas","2015-12-01","Standard Materials","Consulting","Public","Cold","2015-11-09","Partner",20160
"B",24893,"Texas","2015-01-19","Frames","Technology","Public","Hot","2014-10-29","Competitor",28910
"A",54173,"Boston","2015-05-31","Navigation","Manufacturing","Public","Hot","2015-05-05","Customer",19640
"J",22047,"Boston","2015-03-02","Engine Parts","Consulting","Public","Cold","2015-01-23","Partner",21160
"I",5432,"New York","2015-08-30","Standard Mounts","Retail","Private","Hot","2015-07-09","Customer",17060
"B",50039,"Texas","2015-07-10","Standard Hardware","Shipping","Public","Hot","2015-04-20","Customer",14230
"A",43862,"Boston","2015-10-02","Standard Materials","Shipping","Public","Cold","2015-08-31","Customer",19160
"F",50006,"California","2015-01-07","Standard Hardware","Shipping","Private","Hot","2014-11-01","Customer",13230
"B",50196,"Texas","2015-07-01","Standard Hardware","Retail","Private","Warm","2015-05-05","Consulting",11230
"C",24462,"California","2014-09-08","Frames","Manufacturing","Public","Hot","2014-07-11","Customer",19680
"F",9951,"Texas","2016-02-22","Ground Vehicle","Hospitality","Public","Warm","2015-12-08","Customer",19200
"B",395,"California","2014-05-10","Naval","Hospitality","Private","Hot","2014-03-03","Customer",19180
"C",21535,"Texas","2016-02-02","Engine Parts","Manufacturing","Public","Cold","2015-12-31","Customer",20640
"B",13441,"Texas","2014-08-02","Ground Vehicle","Biotechnology","Private","Cold","2014-05-19","Customer",18680
"C",12912,"Boston","2015-11-21","Ground Vehicle","Banking","Private","Cold","2015-09-30","Customer",21200
"B",7627,"California","2016-01-14","Mapping","Technology","Public","Hot","2015-10-26","Competitor",19700
"B",798,"Boston","2014-08-20","Naval","Biotechnology","Public","Hot","2014-06-06","Competitor",28180
"J",54637,"Texas","2014-08-22","Navigation","Manufacturing","Public","Hot","2014-07-20","Customer",19640
"B",7628,"New York","2015-09-23","Mapping","Technology","Public","Hot","2015-07-05","Competitor",19060
"F",7985,"Texas","2015-12-11","Mapping","Banking","Private","Hot","2015-09-24","Competitor",19060
"F",11333,"New York","2015-06-15","Ground Vehicle","Apparel","Public","Hot","2015-03-20","Customer",21680
"E",22014,"Texas","2014-02-14","Engine Parts","Consulting","Public","Hot","2014-01-10","Consulting",25160
"F",11948,"Texas","2015-08-23","Ground Vehicle","Consulting","Public","Hot","2015-06-16","Customer",18680
"B",7148,"Texas","2016-02-08","Mapping","Technology","Public","Hot","2015-11-12","Customer",18700
"F",8776,"Texas","2014-06-02","Ground Vehicle","Technology","Private","Hot","2014-03-21","Customer",20200
"G",350,"California","2014-04-29","Naval","Retail","Private","Hot","2014-02-24","Customer",16180
"I",54078,"Texas","2015-10-28","Navigation","Retail","Public","Cold","2015-09-27","Customer",19640
"A",18372,"Boston","2015-08-07","Miniaturized Parts","Apparel","Public","Hot","2015-07-20","Customer",18890
"A",78,"New York","2014-06-22","Naval","Apparel","Public","Hot","2014-05-09","Customer",23880
"G",50225,"New York","2015-07-26","Standard Hardware","Retail","Public","Cold","2015-06-12","Consulting",15230
"A",9015,"Texas","2015-12-14","Ground Vehicle","Apparel","Private","Hot","2015-10-23","Customer",19200
"I",21667,"California","2015-03-20","Engine Parts","Retail","Public","Cold","2015-02-26","Customer",19640
"F",2473,"Texas","2015-01-11","Compliance","Manufacturing","Private","Hot","2014-11-06","Customer",17640
"C",49058,"Texas","2015-02-18","Standard Hardware","Shipping","Public","Cold","2014-12-15","Consulting",9230
"A",6926,"Texas","2015-08-21","Mapping","Banking","Public","Hot","2015-07-29","Customer",18060
"B",18245,"Texas","2015-05-06","Ground Vehicle","Shipping","Private","Warm","2015-03-01","Customer",19200
"A",21312,"Boston","2014-07-29","Engine Parts","Retail","Public","Cold","2014-07-08","Customer",21160
"E",132,"Texas","2015-04-10","Naval","Consulting","Private","Hot","2015-01-26","Customer",15180
"C",2883,"California","2014-12-30","Compliance","Retail","Public","Warm","2014-10-27","Consulting",16220
"A",48942,"Boston","2015-01-11","Standard Hardware","Shipping","Public","Cold","2014-11-21","Customer",9230
"B",545,"Texas","2015-01-13","Naval","Biotechnology","Private","Hot","2014-10-25","Competitor",19880
"B",8902,"Texas","2015-10-19","Ground Vehicle","Biotechnology","Public","Hot","2015-07-29","Customer",20680
"F",887,"California","2015-04-09","Naval","Hospitality","Public","Hot","2015-01-09","Competitor",13880
"F",25191,"New York","2014-05-26","Frames","Manufacturing","Public","Hot","2014-03-07","Customer",21330
"B",51889,"Texas","2015-07-27","Raw Materials","Hospitality","Public","Hot","2015-05-01","Customer",25120
"E",24042,"New York","2014-10-16","Frames","Hospitality","Public","Hot","2014-08-31","Customer",21680
"C",49202,"New York","2015-12-22","Standard Hardware","Shipping","Private","Hot","2015-11-06","Customer",9230
"C",12992,"New York","2015-06-13","Ground Vehicle","Manufacturing","Public","Warm","2015-04-15","Customer",19200
"B",11399,"New York","2015-12-16","Ground Vehicle","Apparel","Private","Hot","2015-09-23","Customer",19200
"B",24158,"Texas","2016-03-06","Frames","Manufacturing","Public","Hot","2015-12-09","Customer",23330
"B",49181,"Texas","2015-12-02","Standard Hardware","Apparel","Public","Hot","2015-09-15","Partner",16230
"F",13713,"Texas","2015-05-05","Ground Vehicle","Apparel","Private","Hot","2015-03-15","Customer",19200
"A",21261,"New York","2015-09-10","Engine Parts","Apparel","Public","Hot","2015-07-28","Customer",21160
"K",5421,"California","2014-08-20","Standard Mounts","Retail","Private","Cold","2014-06-30","Customer",19200
"B",51802,"Texas","2014-05-29","Raw Materials","Apparel","Private","Hot","2014-03-13","Customer",21900
"F",13732,"New York","2015-08-19","Ground Vehicle","Apparel","Private","Hot","2015-06-22","Customer",19200
"F",11880,"Texas","2015-05-31","Ground Vehicle","Consulting","Public","Hot","2015-03-11","Consulting",20200
"B",14342,"Texas","2014-09-19","Ground Vehicle","Retail","Private","Cold","2014-07-16","Customer",19200
"C",24080,"Texas","2015-03-15","Frames","Banking","Private","Hot","2015-02-06","Customer",18680
"B",50412,"Texas","2015-05-05","Standard Hardware","Shipping","Private","Cold","2015-02-10","Customer",21230
"C",44390,"Texas","2014-08-13","Standard Materials","Banking","Public","Cold","2014-07-05","Customer",21160
"C",43466,"New York","2014-12-13","Standard Materials","Banking","Public","Cold","2014-11-03","Customer",19160
"A",14471,"Boston","2015-01-13","Ground Vehicle","Consulting","Private","Hot","2014-11-28","Competitor",24200
"B",18573,"Texas","2015-08-20","Miniaturized Parts","Banking","Private","Hot","2015-06-02","Customer",17890
"B",12383,"Texas","2015-05-23","Ground Vehicle","Hospitality","Private","Warm","2015-03-05","Customer",18680
"C",21362,"Texas","2014-08-31","Engine Parts","Consulting","Public","Cold","2014-07-31","Customer",20160
"F",5842,"Texas","2014-10-15","Standard Mounts","Manufacturing","Private","Warm","2014-07-20","Customer",19200
"G",51971,"Boston","2014-11-09","Raw Materials","Manufacturing","Public","Hot","2014-09-26","Customer",17120
"A",24459,"Texas","2015-02-28","Frames","Manufacturing","Public","Hot","2015-01-08","Customer",19680
"B",5400,"California","2015-02-17","Standard Mounts","Retail","Private","Cold","2014-12-08","Customer",19200
"E",44071,"Texas","2015-02-24","Standard Materials","Consulting","Public","Cold","2015-01-18","Partner",20160
"B",6964,"Boston","2016-03-05","Mapping","Manufacturing","Private","Hot","2015-12-09","Customer",20700
"E",43789,"Texas","2015-02-18","Standard Materials","Apparel","Public","Hot","2015-01-27","Competitor",19160
"B",17544,"Texas","2014-12-07","Ground Vehicle","Hospitality","Private","Warm","2014-09-17","Customer",19200
"H",15875,"California","2015-08-18","Ground Vehicle","Biotechnology","Private","Warm","2015-06-13","Reseller",19200
"I",54076,"Texas","2014-07-26","Navigation","Retail","Public","Cold","2014-07-05","Customer",19640
"F",1593,"New York","2015-09-26","Compliance","Banking","Private","Hot","2015-07-16","Customer",23640
"B",8766,"New York","2015-08-05","Ground Vehicle","Technology","Private","Hot","2015-05-18","Customer",39200
"B",10417,"Texas","2015-09-21","Ground Vehicle","Hospitality","Private","Warm","2015-07-18","Customer",19200
"B",15910,"Texas","2014-10-28","Ground Vehicle","Biotechnology","Private","Hot","2014-08-06","Competitor",21200
"B",11205,"New York","2014-05-31","Ground Vehicle","Apparel","Public","Hot","2014-03-10","Customer",19200
"C",19442,"New York","2015-01-10","Miniaturized Parts","Apparel","Private","Hot","2014-11-11","Competitor",22890
"B",51866,"Texas","2015-07-18","Raw Materials","Hospitality","Public","Warm","2015-05-21","Reseller",20900
"D",14108,"Texas","2014-09-05","Ground Vehicle","Retail","Private","Hot","2014-07-25","Competitor",20200
"F",50052,"California","2014-08-13","Standard Hardware","Shipping","Public","Hot","2014-06-03","Customer",13230
"G",15835,"California","2015-06-19","Ground Vehicle","Biotechnology","Private","Warm","2015-04-25","Consulting",19200
"D",8903,"Texas","2014-07-08","Ground Vehicle","Biotechnology","Private","Hot","2014-05-16","Customer",20200
"B",7462,"Texas","2015-05-02","Mapping","Manufacturing","Public","Hot","2015-02-04","Customer",17700
"B",51491,"California","2015-11-21","Raw Materials","Consulting","Private","Hot","2015-09-01","Customer",19120
"C",15242,"New York","2015-08-12","Ground Vehicle","Banking","Private","Cold","2015-06-22","Customer",19200
"F",24408,"Texas","2015-09-12","Frames","Banking","Private","Hot","2015-06-26","Customer",18680
"B",3912,"New York","2014-11-09","Compliance","Banking","Private","Warm","2014-08-29","Consulting",25640
"F",52009,"Texas","2014-11-22","Raw Materials","Manufacturing","Public","Hot","2014-09-11","Customer",26120
"A",22397,"California","2014-04-29","Engine Parts","Hospitality","Public","Warm","2014-04-03","Customer",21640
"E",10402,"Texas","2014-11-16","Ground Vehicle","Hospitality","Private","Warm","2014-09-14","Customer",19200
"B",8560,"Boston","2014-06-07","Mapping","Banking","Private","Hot","2014-03-30","Competitor",22200
"G",11196,"Texas","2014-07-03","Ground Vehicle","Apparel","Private","Hot","2014-04-29","Customer",19200
"F",13733,"California","2014-08-27","Ground Vehicle","Apparel","Public","Hot","2014-06-11","Customer",19200
"A",41685,"Texas","2015-08-08","Standard Materials","Manufacturing","Public","Hot","2015-07-11","Customer",19160
"B",6442,"New York","2016-02-03","Standard Mounts","Manufacturing","Private","Hot","2015-11-15","Consulting",28870
"A",2604,"California","2014-08-26","Compliance","Technology","Public","Hot","2014-06-29","Competitor",18640
"I",21980,"California","2016-01-09","Engine Parts","Retail","Public","Cold","2015-12-06","Reseller",22640
"F",11912,"New York","2015-08-29","Ground Vehicle","Consulting","Private","Cold","2015-06-10","Consulting",19200
"G",41411,"California","2015-01-03","Standard Materials","Hospitality","Public","Hot","2014-12-08","Customer",19160
"F",19572,"California","2015-06-03","Miniaturized Parts","Hospitality","Private","Hot","2015-03-07","Customer",20890
"F",7766,"Texas","2015-02-20","Mapping","Retail","Public","Hot","2014-12-23","Competitor",16060
"B",2967,"Texas","2016-02-13","Compliance","Consulting","Public","Hot","2015-12-06","Customer",18220
"A",41626,"New York","2014-02-14","Standard Materials","Manufacturing","Public","Cold","2014-01-20","Customer",19160
"A",18885,"Texas","2015-06-02","Miniaturized Parts","Hospitality","Public","Hot","2015-04-03","Customer",18890
"F",48520,"California","2014-05-17","Standard Hardware","Shipping","Private","Hot","2014-03-30","Customer",12230
"I",9373,"California","2014-11-05","Ground Vehicle","Retail","Public","Cold","2014-08-19","Customer",19200
"F",2537,"Texas","2016-01-29","Compliance","Shipping","Private","Hot","2015-11-11","Customer",19220
"A",14866,"California","2015-03-26","Ground Vehicle","Hospitality","Private","Hot","2015-02-17","Competitor",22680
"A",22473,"California","2015-03-14","Engine Parts","Hospitality","Public","Cold","2015-02-21","Customer",22640
"B",16484,"Texas","2015-07-11","Ground Vehicle","Shipping","Private","Hot","2015-04-21","Competitor",18680
"A",1756,"Texas","2015-08-07","Compliance","Shipping","Private","Hot","2015-06-15","Customer",19640
"F",7622,"New York","2014-12-27","Mapping","Technology","Public","Hot","2014-10-08","Competitor",18700
"C",44337,"Texas","2014-08-14","Standard Materials","Banking","Public","Cold","2014-07-08","Customer",19160
"E",54227,"Texas","2015-06-11","Navigation","Apparel","Public","Hot","2015-05-10","Customer",19160
"B",8281,"Texas","2014-07-23","Mapping","Apparel","Public","Hot","2014-05-06","Competitor",20700
"A",48360,"New York","2016-01-04","Standard Hardware","Apparel","Private","Hot","2015-11-13","Partner",16230
"B",48649,"New York","2014-06-23","Standard Hardware","Retail","Public","Cold","2014-05-02","Partner",20230
"B",49037,"New York","2016-02-07","Standard Hardware","Shipping","Private","Cold","2015-11-26","Customer",18230
"J",49260,"New York","2016-01-29","Standard Hardware","Shipping","Private","Hot","2015-12-08","Customer",14230
"E",14914,"Texas","2014-09-01","Ground Vehicle","Hospitality","Private","Warm","2014-07-03","Customer",19200
"G",43666,"Texas","2015-09-04","Standard Materials","Biotechnology","Public","Warm","2015-07-25","Customer",19160
"D",17912,"Boston","2014-07-27","Ground Vehicle","Banking","Private","Cold","2014-05-27","Customer",19200
"G",3680,"Texas","2015-05-28","Compliance","Consulting","Public","Hot","2015-03-27","Consulting",19640
"F",12051,"New York","2015-02-10","Ground Vehicle","Consulting","Private","Hot","2014-12-02","Customer",19200
"B",52629,"New York","2014-11-23","Raw Materials","Banking","Public","Hot","2014-08-25","Competitor",27120
"A",51517,"California","2015-11-12","Raw Materials","Hospitality","Public","Hot","2015-09-10","Customer",36120
"C",54483,"Texas","2015-08-05","Navigation","Shipping","Public","Cold","2015-07-05","Customer",19640
"A",43540,"Texas","2015-03-29","Standard Materials","Manufacturing","Public","Cold","2015-02-23","Customer",19160
"G",22078,"California","2015-08-22","Engine Parts","Hospitality","Public","Cold","2015-08-01","Customer",21160
"J",21704,"Texas","2015-12-27","Engine Parts","Consulting","Public","Cold","2015-11-21","Customer",21160
"B",4026,"Texas","2014-12-11","Compliance","Manufacturing","Public","Hot","2014-09-18","Customer",27220
"H",6238,"Texas","2015-06-09","Standard Mounts","Retail","Private","Cold","2015-04-04","Customer",19200
"B",11709,"Texas","2015-08-02","Ground Vehicle","Retail","Public","Warm","2015-05-12","Consulting",19200
"C",21841,"California","2015-02-24","Engine Parts","Banking","Public","Cold","2015-01-27","Customer",21640
"D",42492,"Boston","2015-06-23","Standard Materials","Banking","Public","Cold","2015-05-20","Customer",19160
"G",2556,"New York","2015-03-24","Compliance","Technology","Private","Hot","2015-02-01","Customer",17640
"E",41243,"Texas","2015-08-07","Standard Materials","Consulting","Public","Cold","2015-06-28","Partner",20160
"B",870,"Texas","2016-03-01","Naval","Consulting","Private","Hot","2015-12-18","Customer",19180
"F",6423,"Texas","2014-07-07","Standard Mounts","Banking","Private","Cold","2014-04-29","Customer",19200
"F",10404,"Texas","2016-03-16","Ground Vehicle","Hospitality","Private","Hot","2015-12-26","Customer",22200
"B",49341,"Texas","2014-10-31","Standard Hardware","Retail","Private","Cold","2014-09-01","Partner",9230
"B",11541,"New York","2015-02-12","Ground Vehicle","Retail","Public","Cold","2014-11-21","Customer",19200
"B",50928,"Texas","2016-01-28","Standard Hardware","Retail","Public","Cold","2015-11-08","Consulting",11230
"F",18186,"Texas","2015-07-08","Ground Vehicle","Shipping","Public","Hot","2015-05-01","Customer",21200
"C",43842,"Texas","2015-07-23","Standard Materials","Shipping","Public","Cold","2015-06-16","Customer",19160
"B",567,"Texas","2014-07-03","Naval","Biotechnology","Public","Hot","2014-04-17","Consulting",34180
"I",44000,"Texas","2015-01-24","Standard Materials","Retail","Public","Cold","2014-12-20","Customer",19640
"B",48590,"California","2014-04-06","Standard Hardware","Retail","Public","Warm","2014-01-20","Consulting",13230
"B",10183,"Texas","2014-10-29","Ground Vehicle","Hospitality","Private","Warm","2014-08-11","Customer",19200
"A",10013,"California","2015-07-06","Ground Vehicle","Hospitality","Private","Warm","2015-05-19","Customer",19200
"F",17798,"Boston","2015-08-15","Ground Vehicle","Banking","Private","Cold","2015-05-28","Customer",23200
"I",54059,"Texas","2014-07-01","Navigation","Retail","Public","Cold","2014-06-07","Customer",19640
"B",6569,"Texas","2014-10-06","Mapping","Biotechnology","Public","Hot","2014-07-16","Customer",19700
"B",19009,"Texas","2015-10-25","Miniaturized Parts","Technology","Public","Hot","2015-07-27","Competitor",23890
"E",22406,"Texas","2014-06-22","Engine Parts","Hospitality","Public","Cold","2014-05-22","Customer",19640
"A",19351,"California","2015-11-07","Miniaturized Parts","Technology","Public","Hot","2015-09-30","Competitor",17890
"I",6231,"California","2015-08-31","Standard Mounts","Retail","Private","Warm","2015-07-06","Consulting",19200
"B",17587,"Texas","2014-12-29","Ground Vehicle","Hospitality","Private","Warm","2014-10-01","Customer",19200
"D",12824,"Texas","2014-05-21","Ground Vehicle","Banking","Private","Cold","2014-03-30","Customer",19200
"E",44074,"California","2015-10-10","Standard Materials","Consulting","Public","Cold","2015-09-01","Partner",20160
"B",11288,"Texas","2016-01-21","Ground Vehicle","Apparel","Private","Hot","2015-11-08","Customer",22200
"B",13599,"Texas","2014-03-30","Ground Vehicle","Apparel","Public","Hot","2014-01-17","Customer",20200
"A",44268,"California","2015-11-18","Standard Materials","Hospitality","Public","Cold","2015-10-27","Customer",19160
"G",809,"New York","2014-04-01","Naval","Biotechnology","Private","Hot","2014-02-05","Competitor",24180
"B",52520,"Texas","2015-03-06","Raw Materials","Apparel","Public","Hot","2014-12-12","Competitor",27120
"A",22480,"California","2014-04-22","Engine Parts","Hospitality","Public","Cold","2014-03-27","Customer",22640
"F",18902,"Texas","2015-10-06","Miniaturized Parts","Banking","Private","Hot","2015-07-09","Customer",29890
"B",13018,"New York","2016-01-15","Ground Vehicle","Manufacturing","Public","Warm","2015-10-31","Customer",19200
"H",2165,"Texas","2015-11-12","Compliance","Consulting","Private","Hot","2015-09-18","Customer",19640
"F",8159,"New York","2014-04-23","Mapping","Technology","Private","Hot","2014-02-11","Customer",19060
"D",53806,"Texas","2015-08-17","Navigation","Retail","Public","Cold","2015-07-18","Customer",19640
"A",17990,"New York","2015-01-17","Ground Vehicle","Banking","Private","Cold","2014-11-19","Customer",19200
"A",41966,"Boston","2014-05-17","Standard Materials","Shipping","Public","Cold","2014-04-18","Customer",19160
"B",11769,"California","2014-03-22","Ground Vehicle","Retail","Public","Cold","2014-01-12","Customer",20200
"E",175,"Boston","2014-07-16","Naval","Hospitality","Public","Hot","2014-05-22","Customer",24180
"G",10049,"California","2014-11-18","Ground Vehicle","Hospitality","Public","Hot","2014-10-06","Consulting",27200
"B",52257,"California","2015-05-12","Raw Materials","Hospitality","Public","Hot","2015-02-22","Competitor",20120
"B",7873,"California","2015-12-24","Mapping","Hospitality","Public","Warm","2015-10-10","Customer",22700
"B",5894,"Texas","2014-04-24","Standard Mounts","Apparel","Private","Hot","2014-02-16","Customer",21200
"A",13483,"Texas","2014-09-18","Ground Vehicle","Apparel","Private","Hot","2014-07-20","Customer",19200
"B",51241,"Texas","2014-07-01","Standard Hardware","Shipping","Private","Cold","2014-04-15","Customer",28230
"A",12886,"Boston","2015-06-23","Ground Vehicle","Banking","Public","Cold","2015-05-02","Customer",19200
"B",48464,"New York","2016-02-02","Standard Hardware","Shipping","Public","Hot","2015-11-24","Customer",17230
"A",18688,"New York","2014-10-10","Miniaturized Parts","Technology","Public","Hot","2014-09-08","Customer",18890
"G",23894,"California","2014-10-09","Frames","Technology","Private","Hot","2014-08-23","Customer",19330
"B",767,"Texas","2014-06-20","Naval","Technology","Public","Hot","2014-03-22","Competitor",21180
"A",16039,"California","2015-07-20","Ground Vehicle","Apparel","Private","Hot","2015-05-31","Customer",19200
"C",48994,"Texas","2015-03-15","Standard Hardware","Shipping","Private","Cold","2015-01-07","Customer",12230
"B",52220,"New York","2016-01-05","Raw Materials","Retail","Private","Hot","2015-10-23","Competitor",18120
"A",14494,"Texas","2014-12-20","Ground Vehicle","Consulting","Private","Hot","2014-10-23","Customer",19200
"B",3474,"Texas","2015-12-14","Compliance","Biotechnology","Private","Hot","2015-09-29","Consulting",22220
"A",12739,"Texas","2014-04-29","Ground Vehicle","Banking","Private","Hot","2014-02-26","Customer",19680
