Product,Region,Vertical,Close Date,Distributor,Discount Level,Margin
Hybrid Motors,Italy,Public Sector,4/1/15,Nokemi,Silver,10
Ball Bearings,France,Trucking,7/1/15,Nisizu,Gold,95
Brakes,Brazil,Automotive,7/1/15,Nokemi,Silver,0
Brakes,Brazil,Automotive,10/1/15,Nokemi,Gold,15
Ball Bearings,India,Automotive,1/1/15,Nokemi,Gold,88
Wheel Bearings,India,Automotive,4/1/15,Nokemi,Gold,15
Ball Bearings,Latin America,Oil and Gas,7/1/15,Nokemi,Gold,6
Ball Bearings,Italy,Chemicals,10/1/15,Nokemi,Gold,19
Hybrid Motors,France,Consumer Products,1/1/15,Nokemi,Gold,3
Lift Supports,United Kingdom,Wholesale Distribution,4/1/15,Nokemi,Silver,43
Belt drives,Germany,Retail,10/1/15,Nisizu,Silver,93
Belt drives,Germany,Defense,1/1/15,Nisizu,Gold,23
Rotor Screws,Germany,Healthcare,4/1/15,Nisizu,Gold,6
Brakes,Africa,Utilities,7/1/15,Nokemi,Gold,11
Wheel Bearings,Brazil,Public Sector,10/1/15,Nokemi,Gold,12
Brakes,Germany,Healthcare,1/1/15,Nokemi,Gold,1
Wheel Bearings,France,High Tech,4/1/15,Nokemi,Gold,12
Wheel Bearings,France,High Tech,7/1/15,Nokemi,Silver,22
Wheel Bearings,France,High Tech,1/1/15,DIMAGO,Gold,18
Wiper Gears,France,High Tech,4/1/15,DIMAGO,Gold,26
Wheel Bearings,France,High Tech,10/1/15,Nokemi,Gold,22
Ball Bearings,France,High Tech,4/1/15,BDINC,Gold,23
Alternators,France,High Tech,7/1/15,BDINC,Gold,7
Alternators,France,High Tech,10/1/15,BDINC,Silver,19
Rotor Screws,France,High Tech,1/1/15,BDINC,Gold,7
Ball Bearings,France,High Tech,4/1/15,BDINC,Gold,6
Wheel Bearings,France,High Tech,7/1/15,BDINC,Silver,7
Ball Bearings,France,High Tech,10/1/15,BDINC,Gold,19
Wiper Gears,France,High Tech,1/1/15,Nokemi,Silver,19
Alternators,France,High Tech,4/1/15,Nokemi,Gold,99
Hybrid Motors,Brazil,Defense,7/1/15,Nokemi,Silver,13
Hybrid Motors,Brazil,Defense,7/1/15,Nisizu,Gold,6
Ball Bearings,Brazil,Defense,10/1/15,Nisizu,Gold,26
Planetary Gears,Brazil,Defense,10/1/15,Nokemi,Gold,4
Lift Supports,Germany,Life Sciences,1/1/15,Nokemi,Gold,17
Ball Bearings,Germany,Life Sciences,1/1/15,BDINC,Gold,13
Brakes,Germany,Life Sciences,4/1/15,Nokemi,Silver,121
Ball Bearings,Germany,Life Sciences,7/1/15,Nokemi,Gold,14
Belt drives,Germany,Life Sciences,10/1/15,Nokemi,Silver,1
Brakes,Western United States,Wholesale Distribution,1/1/15,Nokemi,Gold,7
Wheel Bearings,South East Asia,Chemicals,4/1/15,Nokemi,Gold,6
Hybrid Motors,South East Asia,Chemicals,7/1/15,Nokemi,Silver,20
Lift Supports,South East Asia,Chemicals,10/1/15,Nokemi,Silver,3
Hybrid Motors,South East Asia,Chemicals,1/1/15,Nokemi,Silver,8
Wheel Bearings,South East Asia,Chemicals,4/1/15,Nokemi,Gold,22
Wheel Bearings,Latin America,Utilities,7/1/15,Nokemi,Gold,8
Brake Pads,Latin America,Utilities,1/1/15,Nisizu,Gold,26
Clutches,Japan,Defense,4/1/15,Nisizu,Gold,19
Clutches,France,Consumer Products,10/1/15,Nokemi,Gold,92
Ball Bearings,Africa,Chemicals,7/1/15,Nisizu,Gold,1
Wiper Gears,Africa,Defense,10/1/15,Nisizu,Silver,18
Ball Bearings,Africa,Defense,1/1/15,Nokemi,Silver,6
Ball Bearings,Africa,Defense,4/1/15,Nokemi,Gold,30
Wheel Bearings,France,Media,7/1/15,Nokemi,Gold,9
Wheel Bearings,Italy,Consumer Products,10/1/15,APPLIC IND,Gold,85
Ball Bearings,Italy,Consumer Products,1/1/15,APPLIC IND,Silver,118
Wheel Bearings,Italy,Consumer Products,10/1/15,Nokemi,Gold,6
Ball Bearings,Italy,Consumer Products,7/1/15,DIMAGO,Gold,104
Brakes,United Kingdom,Manufacturing,1/1/15,Nokemi,Gold,14
Wheel Bearings,Germany,Banking,1/1/15,Nisizu,Silver,19
Ball Bearings,Germany,Banking,4/1/15,Nisizu,Silver,7
Planetary Gears,Germany,Banking,4/1/15,Nokemi,Silver,29
Wheel Bearings,Germany,Banking,7/1/15,Nokemi,Gold,7
Lift Supports,Germany,Banking,10/1/15,Nokemi,Silver,40
Wheel Bearings,Germany,Banking,1/1/15,Nokemi,Gold,12
Lift Supports,Germany,Banking,4/1/15,Nokemi,Silver,22
Rotor Screws,Germany,Banking,7/1/15,Nisizu,Silver,90
Lift Supports,Germany,Banking,7/1/15,Nokemi,Gold,2
Ball Bearings,Germany,Banking,10/1/15,Nokemi,Gold,7
Alternators,Italy,Public Sector,10/1/15,Nisizu,Gold,40
Lift Supports,Italy,Public Sector,1/1/15,Nokemi,Gold,5
Wheel Bearings,Italy,Public Sector,4/1/15,Nokemi,Gold,31
Brake Pads,Italy,Public Sector,1/1/15,Nisizu,Silver,0
Hybrid Motors,Italy,Public Sector,7/1/15,Nokemi,Gold,13
Clutches,Italy,Public Sector,10/1/15,Nokemi,Silver,2
Brake Pads,Japan,Consumer Products,1/1/15,Nokemi,Gold,7
Ball Bearings,Japan,Wholesale Distribution,4/1/15,Nisizu,Gold,33
Ball Bearings,Japan,Wholesale Distribution,7/1/15,Nisizu,Gold,3
Alternators,Japan,Wholesale Distribution,10/1/15,Nisizu,Silver,5
Alternators,Japan,Wholesale Distribution,1/1/15,Nisizu,Gold,8
Alternators,Japan,Utilities,4/1/15,Nisizu,Gold,25
Alternators,Japan,Utilities,7/1/15,Nisizu,Gold,9
Alternators,Japan,Utilities,10/1/15,Nisizu,Silver,9
Alternators,Japan,Utilities,1/1/15,Nisizu,Gold,6
Alternators,Japan,Life Sciences,4/1/15,Nisizu,Silver,4
Wheel Bearings,United Kingdom,Healthcare,4/1/15,Nokemi,Gold,4
Wheel Bearings,Japan,Automotive,7/1/15,Nisizu,Gold,15
Alternators,Japan,Automotive,10/1/15,Nisizu,Gold,31
Belt drives,Japan,Automotive,1/1/15,Nisizu,Silver,7
Brakes,Latin America,Utilities,10/1/15,DIMAGO,Gold,28
Brakes,Latin America,Utilities,1/1/15,DIMAGO,Gold,14
Alternators,Latin America,Utilities,7/1/15,Nokemi,Gold,15
Wheel Bearings,Latin America,Utilities,4/1/15,Nisizu,Gold,2
Ball Bearings,Latin America,Utilities,7/1/15,Nisizu,Gold,0
Ball Bearings,South East Asia,High Tech,10/1/15,Nokemi,Gold,7
Clutches,South East Asia,High Tech,1/1/15,Nokemi,Gold,9
Brakes,France,Defense,4/1/15,Nokemi,Gold,11
Wiper Gears,France,Insurance,4/1/15,DIMAGO,Gold,16
Brake Pads,France,Insurance,7/1/15,DIMAGO,Gold,13
Brakes,France,High Tech,7/1/15,BERLIN & DRIVE,Gold,8
Clutches,France,High Tech,10/1/15,BERLIN & DRIVE,Gold,6
Planetary Gears,France,High Tech,1/1/15,BERLIN & DRIVE,Gold,15
Planetary Gears,Brazil,Banking,10/1/15,Nisizu,Silver,14
Ball Bearings,Brazil,Media,7/1/15,Nokemi,Silver,9
Wheel Bearings,Brazil,Consumer Products,10/1/15,Nokemi,Gold,7
Wheel Bearings,Brazil,Public Sector,1/1/15,Nisizu,Silver,44
Clutches,Brazil,Public Sector,4/1/15,Nisizu,Gold,8
Planetary Gears,Brazil,Public Sector,7/1/15,Nisizu,Gold,25
Clutches,Brazil,Automotive,10/1/15,Nisizu,Gold,1
Wheel Bearings,Germany,Manufacturing,1/1/15,Nokemi,Gold,9
Brakes,Germany,High Tech,4/1/15,Nokemi,Gold,100
Wheel Bearings,Germany,High Tech,7/1/15,Nokemi,Silver,78
Wheel Bearings,India,Consumer Products,10/1/15,Nokemi,Gold,17
Ball Bearings,Germany,Manufacturing,1/1/15,Nisizu,Gold,82
Ball Bearings,Germany,Manufacturing,1/1/15,Nokemi,Silver,5
Wheel Bearings,Japan,Consumer Products,4/1/15,APPLIC IND,Silver,6
Ball Bearings,Latin America,Consumer Products,4/1/15,Nisizu,Silver,94
Ball Bearings,Latin America,Consumer Products,7/1/15,Nisizu,Gold,1
Wiper Gears,Germany,Banking,10/1/15,Nisizu,Gold,28
Alternators,Germany,Banking,1/1/15,Nisizu,Gold,18
Ball Bearings,Germany,Banking,4/1/15,Nokemi,Gold,87
Ball Bearings,Germany,Banking,7/1/15,Nokemi,Gold,6
Wiper Gears,Germany,Banking,10/1/15,Nokemi,Gold,99
Brake Pads,Germany,Manufacturing,4/1/15,Nisizu,Gold,16
Ball Bearings,Germany,Manufacturing,7/1/15,Nisizu,Silver,97
Brake Pads,South East Asia,Utilities,10/1/15,Nisizu,Gold,9
Alternators,South East Asia,Utilities,1/1/15,Nokemi,Gold,9
Ball Bearings,Brazil,Oil and Gas,1/1/15,Nisizu,Silver,20
Wheel Bearings,Germany,Manufacturing,4/1/15,Nokemi,Gold,15
Ball Bearings,Japan,Banking,7/1/15,Nokemi,Gold,4
Ball Bearings,Japan,Banking,10/1/15,Nokemi,Gold,5
Brakes,France,Chemicals,1/1/15,Nokemi,Silver,0
Brakes,Africa,Banking,4/1/15,Nokemi,Silver,3
Brake Pads,Africa,Oil and Gas,4/1/15,Nisizu,Gold,5
Planetary Gears,Africa,Oil and Gas,7/1/15,Nisizu,Silver,7
Ball Bearings,Africa,Oil and Gas,10/1/15,Nisizu,Gold,4
Ball Bearings,Africa,Oil and Gas,1/1/15,Nisizu,Gold,22
Brake Pads,Africa,Oil and Gas,4/1/15,Nisizu,Gold,17
Alternators,Africa,Oil and Gas,7/1/15,Nisizu,Gold,5
Hybrid Motors,Africa,Oil and Gas,7/1/15,Nokemi,Silver,3
Brake Pads,Africa,Oil and Gas,10/1/15,Nisizu,Gold,18
Brake Pads,Africa,Oil and Gas,1/1/15,Nisizu,Gold,12
Planetary Gears,Africa,Oil and Gas,4/1/15,Nisizu,Gold,18
Hybrid Motors,Africa,Oil and Gas,4/1/15,BDINC,Gold,5
Rotor Screws,Africa,Oil and Gas,7/1/15,Nisizu,Gold,116
Brake Pads,Africa,Oil and Gas,7/1/15,APPLIC IND,Gold,4
Alternators,Germany,Media,10/1/15,Nokemi,Gold,3
Clutches,Latin America,Defense,10/1/15,Nisizu,Gold,90
Belt drives,Latin America,Defense,1/1/15,Nisizu,Gold,127
Wheel Bearings,France,Consumer Products,1/1/15,Nokemi,Gold,132
Ball Bearings,Latin America,Chemicals,4/1/15,Nisizu,Gold,9
Alternators,Latin America,Healthcare,7/1/15,Nisizu,Gold,13
Brake Pads,Japan,Life Sciences,4/1/15,Nokemi,Silver,8
Alternators,Japan,Life Sciences,10/1/15,Nisizu,Gold,2
Alternators,Japan,Life Sciences,1/1/15,Nisizu,Gold,2
Wheel Bearings,Japan,Trucking,7/1/15,Nokemi,Silver,10
Wheel Bearings,Japan,Trucking,10/1/15,Nokemi,Gold,1
Rotor Screws,Japan,Media,4/1/15,Nisizu,Silver,88
Alternators,Japan,Media,1/1/15,Nokemi,Gold,21
Lift Supports,United Kingdom,Utilities,7/1/15,BDINC,Silver,82
Lift Supports,Western United States,Utilities,10/1/15,BDINC,Silver,109
Clutches,United Kingdom,Utilities,1/1/15,BDINC,Gold,90
Clutches,Western United States,Utilities,4/1/15,BDINC,Gold,100
Wheel Bearings,United Kingdom,Utilities,4/1/15,BERLIN & DRIVE,Gold,91
Wheel Bearings,Western United States,Utilities,7/1/15,BERLIN & DRIVE,Gold,114
Wiper Gears,United Kingdom,Utilities,10/1/15,BERLIN & DRIVE,Gold,107
Wiper Gears,Western United States,Utilities,1/1/15,BERLIN & DRIVE,Gold,89
Hybrid Motors,United Kingdom,Utilities,4/1/15,BERLIN & DRIVE,Gold,125
Hybrid Motors,Western United States,Utilities,7/1/15,BERLIN & DRIVE,Silver,78
Lift Supports,United Kingdom,Utilities,10/1/15,BERLIN & DRIVE,Gold,86
Lift Supports,Western United States,Utilities,1/1/15,BERLIN & DRIVE,Gold,67
Wheel Bearings,Western United States,Utilities,4/1/15,BERLIN & DRIVE,Gold,8
Wiper Gears,Western United States,Utilities,7/1/15,BERLIN & DRIVE,Gold,6
Hybrid Motors,Western United States,Utilities,10/1/15,BERLIN & DRIVE,Silver,1
Brakes,India,Chemicals,4/1/15,Nokemi,Gold,9
Hybrid Motors,United Kingdom,Public Sector,7/1/15,Nokemi,Silver,4
Wheel Bearings,France,Public Sector,10/1/15,DIMAGO,Gold,12
Brakes,France,Public Sector,10/1/15,Nokemi,Silver,0
Lift Supports,Germany,Healthcare,1/1/15,Nokemi,Silver,0
Ball Bearings,Germany,Healthcare,7/1/15,Nisizu,Silver,38
Clutches,Latin America,Manufacturing,7/1/15,BDINC,Gold,8
Planetary Gears,Latin America,Manufacturing,10/1/15,BDINC,Gold,9
Wheel Bearings,Latin America,Manufacturing,10/1/15,Nisizu,Gold,5
Ball Bearings,Latin America,Manufacturing,4/1/15,Nokemi,Gold,23
Clutches,Latin America,Manufacturing,7/1/15,Nokemi,Gold,30
Ball Bearings,Latin America,Manufacturing,10/1/15,Nokemi,Gold,81
Clutches,Latin America,Manufacturing,1/1/15,Nokemi,Silver,3
Ball Bearings,Latin America,Manufacturing,4/1/15,Nokemi,Silver,33
Clutches,Latin America,Manufacturing,7/1/15,Nokemi,Gold,0
Clutches,Latin America,Insurance,1/1/15,BDINC,Gold,21
Hybrid Motors,United Kingdom,Banking,10/1/15,Nokemi,Gold,1
Planetary Gears,United Kingdom,Banking,10/1/15,APPLIC IND,Gold,4
Hybrid Motors,United Kingdom,Banking,1/1/15,Nokemi,Silver,96
Wiper Gears,United Kingdom,Banking,1/1/15,Nisizu,Gold,18
Alternators,United Kingdom,Banking,4/1/15,Nisizu,Gold,3
Planetary Gears,United Kingdom,Banking,4/1/15,Nokemi,Silver,112
Planetary Gears,United Kingdom,Banking,7/1/15,Nokemi,Gold,21
Ball Bearings,Brazil,Retail,10/1/15,Nokemi,Gold,8
Ball Bearings,India,Utilities,1/1/15,Nokemi,Gold,2
Wheel Bearings,Japan,Media,4/1/15,Nokemi,Silver,1
Wheel Bearings,India,Manufacturing,7/1/15,Nokemi,Gold,1
Alternators,India,Manufacturing,10/1/15,Nokemi,Gold,7
Wheel Bearings,India,Manufacturing,1/1/15,Nokemi,Silver,17
Brakes,Germany,Manufacturing,4/1/15,Nokemi,Gold,0
Ball Bearings,Germany,Manufacturing,7/1/15,Nisizu,Gold,87
Ball Bearings,Latin America,Oil and Gas,10/1/15,Nisizu,Gold,27
Ball Bearings,Africa,Public Sector,1/1/15,Nisizu,Silver,24
Clutches,Africa,Public Sector,4/1/15,Nisizu,Gold,26
Brakes,Africa,Public Sector,1/1/15,BERLIN & DRIVE,Silver,1
Rotor Screws,Africa,Public Sector,4/1/15,BERLIN & DRIVE,Gold,21
Clutches,Africa,Public Sector,7/1/15,BERLIN & DRIVE,Gold,16
Rotor Screws,Africa,Public Sector,7/1/15,Nisizu,Gold,15
Rotor Screws,Africa,Public Sector,10/1/15,Nisizu,Gold,21
Brakes,Africa,Banking,7/1/15,Nokemi,Silver,4
Rotor Screws,France,Consumer Products,10/1/15,Nokemi,Silver,12
Wheel Bearings,France,Consumer Products,1/1/15,Nokemi,Silver,74
Wheel Bearings,France,Consumer Products,4/1/15,Nokemi,Gold,18
Brakes,South East Asia,Insurance,7/1/15,Nokemi,Gold,113
Ball Bearings,Latin America,Healthcare,10/1/15,Nokemi,Silver,9
Brakes,Germany,Healthcare,1/1/15,Nokemi,Gold,13
Ball Bearings,Brazil,Retail,1/1/15,Nisizu,Silver,5
Lift Supports,Brazil,Retail,4/1/15,Nokemi,Gold,20
Wheel Bearings,Brazil,Retail,7/1/15,Nokemi,Gold,1
Alternators,Brazil,Retail,4/1/15,Nisizu,Gold,20
Rotor Screws,Brazil,Retail,7/1/15,Nisizu,Gold,121
Alternators,United Kingdom,Manufacturing,10/1/15,Nokemi,Gold,15
Wheel Bearings,Japan,High Tech,1/1/15,Nokemi,Gold,96
Wheel Bearings,Japan,High Tech,4/1/15,Nokemi,Silver,106
Wheel Bearings,Japan,High Tech,7/1/15,Nokemi,Silver,97
Wheel Bearings,Japan,High Tech,10/1/15,Nokemi,Gold,104
Wheel Bearings,Japan,High Tech,1/1/15,Nokemi,Gold,89
Clutches,Germany,High Tech,10/1/15,Nisizu,Gold,26
Belt drives,Germany,High Tech,1/1/15,Nisizu,Gold,10
Ball Bearings,Germany,High Tech,4/1/15,Nokemi,Silver,13
Belt drives,Germany,High Tech,4/1/15,Nisizu,Gold,8
Ball Bearings,Germany,High Tech,7/1/15,Nisizu,Silver,127
Ball Bearings,Germany,High Tech,7/1/15,Nokemi,Gold,113
Lift Supports,Japan,Chemicals,10/1/15,Nokemi,Silver,6
Brakes,United Kingdom,Public Sector,1/1/15,Nokemi,Gold,19
Belt drives,Germany,Industrial Machinery and Components,10/1/15,Nisizu,Gold,115
Clutches,Germany,Industrial Machinery and Components,1/1/15,Nisizu,Gold,75
Belt drives,Germany,Industrial Machinery and Components,4/1/15,Nisizu,Gold,85
Rotor Screws,India,Banking,7/1/15,Nisizu,Gold,4
Clutches,India,Banking,10/1/15,Nisizu,Gold,10
Rotor Screws,India,Banking,1/1/15,Nisizu,Gold,107
Wheel Bearings,France,Manufacturing,10/1/15,BERLIN & DRIVE,Silver,12
Wheel Bearings,Latin America,Healthcare,4/1/15,Nokemi,Gold,2
Belt drives,Latin America,Healthcare,7/1/15,Nokemi,Gold,83
Belt drives,Latin America,Healthcare,10/1/15,Nokemi,Gold,12
Wiper Gears,Brazil,Public Sector,1/1/15,DIMAGO,Gold,11
Alternators,Brazil,Public Sector,4/1/15,DIMAGO,Silver,1
Planetary Gears,Brazil,Public Sector,7/1/15,DIMAGO,Gold,0
Wiper Gears,Brazil,Public Sector,10/1/15,DIMAGO,Silver,12
Alternators,Brazil,Public Sector,1/1/15,DIMAGO,Gold,22
Planetary Gears,Brazil,Public Sector,4/1/15,DIMAGO,Gold,3
Alternators,Western United States,Banking,4/1/15,BDINC,Gold,18
Alternators,Middle East,Public Sector,1/1/15,Nokemi,Gold,6
Belt drives,South East Asia,Defense,4/1/15,Nokemi,Silver,13
Wheel Bearings,Germany,Wholesale Distribution,7/1/15,DIMAGO,Gold,86
Ball Bearings,Germany,Wholesale Distribution,10/1/15,DIMAGO,Gold,102
Clutches,Germany,Wholesale Distribution,1/1/15,DIMAGO,Gold,106
Ball Bearings,Italy,Life Sciences,7/1/15,Nokemi,Silver,7
Clutches,Italy,Life Sciences,10/1/15,Nokemi,Silver,13
Wheel Bearings,Middle East,Wholesale Distribution,1/1/15,Nokemi,Gold,6
Ball Bearings,Italy,Retail,4/1/15,Nisizu,Gold,6
Brakes,Japan,High Tech,4/1/15,Nokemi,Silver,1
Ball Bearings,Japan,Heavy Engineering,7/1/15,Nisizu,Gold,86
Wheel Bearings,France,Insurance,7/1/15,Nokemi,Gold,82
Ball Bearings,South East Asia,Insurance,10/1/15,Nisizu,Gold,8
Brake Pads,South East Asia,Insurance,1/1/15,Nisizu,Gold,2
Wheel Bearings,South East Asia,Insurance,10/1/15,Nokemi,Gold,6
Ball Bearings,France,Defense,1/1/15,Nokemi,Silver,100
Wheel Bearings,France,Banking,4/1/15,Nokemi,Silver,9
Alternators,France,Manufacturing,1/1/15,BERLIN & DRIVE,Gold,6
Planetary Gears,France,Manufacturing,4/1/15,BERLIN & DRIVE,Gold,1
Planetary Gears,France,Manufacturing,4/1/15,Nisizu,Gold,9
Alternators,France,Manufacturing,7/1/15,BERLIN & DRIVE,Gold,5
Alternators,Brazil,Banking,7/1/15,Nokemi,Gold,14
Belt drives,Brazil,Banking,10/1/15,Nokemi,Gold,10
Belt drives,Brazil,Banking,1/1/15,APPLIC IND,Silver,22
Belt drives,South East Asia,Wholesale Distribution,1/1/15,Nokemi,Gold,19
Belt drives,South East Asia,Wholesale Distribution,4/1/15,Nokemi,Silver,22
Wheel Bearings,France,Media,7/1/15,Nokemi,Gold,58
Brake Pads,France,Media,10/1/15,Nokemi,Gold,6
Wheel Bearings,France,Media,1/1/15,Nokemi,Gold,22
Lift Supports,France,Media,4/1/15,Nokemi,Gold,8
Wheel Bearings,France,Media,7/1/15,Nisizu,Gold,65
Alternators,France,Media,10/1/15,Nisizu,Gold,123
Alternators,France,Media,1/1/15,Nisizu,Gold,0
Ball Bearings,France,Media,7/1/15,Nokemi,Gold,21
Ball Bearings,France,Media,4/1/15,DIMAGO,Gold,0
Ball Bearings,France,Media,7/1/15,DIMAGO,Gold,6
Wheel Bearings,Western United States,Wholesale Distribution,10/1/15,Nokemi,Gold,1
Ball Bearings,France,Public Sector,1/1/15,Nokemi,Gold,1
Wheel Bearings,France,Public Sector,4/1/15,Nokemi,Silver,25
Hybrid Motors,France,Industrial Machinery and Components,7/1/15,Nokemi,Gold,9
Wheel Bearings,France,Industrial Machinery and Components,10/1/15,Nokemi,Gold,16
Rotor Screws,Germany,Heavy Engineering,4/1/15,Nisizu,Gold,0
Clutches,Germany,Heavy Engineering,7/1/15,Nisizu,Gold,13
Brakes,Germany,Manufacturing,1/1/15,Nokemi,Silver,8
Clutches,Latin America,Retail,10/1/15,Nisizu,Silver,81
Ball Bearings,Latin America,Retail,1/1/15,Nisizu,Gold,102
Clutches,Brazil,Automotive,4/1/15,Nisizu,Gold,10
Planetary Gears,Brazil,Automotive,7/1/15,Nisizu,Gold,4
Brakes,France,Public Sector,4/1/15,Nokemi,Silver,1
Alternators,United Kingdom,Wholesale Distribution,10/1/15,Nisizu,Gold,31
Wheel Bearings,United Kingdom,Wholesale Distribution,7/1/15,BDINC,Silver,21
Wheel Bearings,United Kingdom,Wholesale Distribution,10/1/15,DIMAGO,Gold,1
Wheel Bearings,India,Retail,7/1/15,Nokemi,Gold,8
Wheel Bearings,Germany,Media,10/1/15,Nokemi,Gold,42
Belt drives,Germany,Manufacturing,1/1/15,Nisizu,Gold,4
Belt drives,Germany,Manufacturing,4/1/15,Nisizu,Gold,2
Lift Supports,Germany,Manufacturing,1/1/15,Nokemi,Silver,6
Ball Bearings,Germany,Manufacturing,4/1/15,Nokemi,Silver,7
Ball Bearings,Germany,Insurance,7/1/15,Nokemi,Gold,103
Clutches,Germany,Healthcare,7/1/15,Nisizu,Gold,105
Belt drives,Germany,Healthcare,10/1/15,Nisizu,Gold,105
Wheel Bearings,France,Consumer Products,10/1/15,Nokemi,Silver,27
Wheel Bearings,France,Media,1/1/15,Nokemi,Silver,0
Belt drives,France,Media,4/1/15,Nokemi,Silver,109
Lift Supports,Latin America,Chemicals,1/1/15,Nisizu,Gold,98
Clutches,France,Banking,7/1/15,Nokemi,Silver,104
Clutches,Germany,Banking,10/1/15,Nokemi,Gold,119
Planetary Gears,India,Retail,1/1/15,Nokemi,Gold,22
Ball Bearings,India,Retail,4/1/15,Nisizu,Gold,1
Ball Bearings,India,Retail,7/1/15,Nisizu,Gold,26
Ball Bearings,India,Retail,10/1/15,Nisizu,Silver,14
Clutches,India,Retail,4/1/15,Nokemi,Gold,24
Clutches,India,Retail,1/1/15,Nisizu,Gold,92
Ball Bearings,India,Retail,4/1/15,Nisizu,Gold,8
Clutches,India,Retail,7/1/15,Nisizu,Silver,0
Ball Bearings,India,Life Sciences,10/1/15,Nisizu,Silver,11
Brake Pads,Africa,High Tech,1/1/15,Nisizu,Gold,100
Brake Pads,Africa,High Tech,7/1/15,Nokemi,Gold,105
Alternators,Latin America,Public Sector,4/1/15,Nisizu,Gold,3
Brakes,Germany,Wholesale Distribution,10/1/15,Nokemi,Gold,75
Ball Bearings,Middle East,Automotive,10/1/15,BDINC,Gold,86
Alternators,France,Media,1/1/15,BDINC,Gold,17
Wheel Bearings,Japan,Chemicals,1/1/15,Nokemi,Silver,11
Hybrid Motors,Japan,Chemicals,4/1/15,Nokemi,Silver,15
Alternators,Latin America,Media,7/1/15,Nisizu,Gold,9
Rotor Screws,Germany,Media,10/1/15,Nisizu,Gold,14
Alternators,Brazil,Consumer Products,7/1/15,Nokemi,Gold,10
Hybrid Motors,Japan,Automotive,4/1/15,BDINC,Gold,2
Brake Pads,Japan,Automotive,10/1/15,Nokemi,Silver,1
Hybrid Motors,Japan,Automotive,1/1/15,Nokemi,Gold,5
Ball Bearings,Japan,Automotive,1/1/15,Nisizu,Gold,3
Wheel Bearings,Germany,Manufacturing,4/1/15,Nisizu,Silver,128
Belt drives,Germany,Manufacturing,7/1/15,Nisizu,Silver,89
Brake Pads,France,Chemicals,10/1/15,Nisizu,Gold,8
Wheel Bearings,Germany,High Tech,4/1/15,Nokemi,Silver,94
Alternators,Germany,Media,1/1/15,Nisizu,Gold,0
Ball Bearings,Germany,Media,4/1/15,Nisizu,Gold,116
Wheel Bearings,Germany,Media,7/1/15,Nisizu,Gold,79
Lift Supports,Germany,Media,10/1/15,Nisizu,Gold,124
Ball Bearings,Germany,Media,1/1/15,Nisizu,Gold,114
Clutches,Germany,Media,4/1/15,Nisizu,Gold,89
Ball Bearings,Germany,Media,7/1/15,Nokemi,Silver,97
Ball Bearings,India,Defense,10/1/15,Nokemi,Gold,8
Lift Supports,Brazil,Retail,1/1/15,Nokemi,Gold,7
Ball Bearings,Brazil,Retail,4/1/15,Nokemi,Gold,10
Lift Supports,Brazil,Retail,7/1/15,Nokemi,Gold,91
Ball Bearings,Brazil,Retail,10/1/15,Nokemi,Silver,109
Alternators,Brazil,Retail,1/1/15,Nokemi,Gold,14
Wheel Bearings,Brazil,Utilities,7/1/15,BDINC,Gold,114
Alternators,Brazil,Utilities,10/1/15,BDINC,Silver,134
Lift Supports,Germany,Healthcare,1/1/15,DIMAGO,Gold,0
Wheel Bearings,Brazil,Utilities,4/1/15,Nokemi,Silver,10
Brakes,United Kingdom,Manufacturing,7/1/15,Nokemi,Gold,110
Wheel Bearings,Latin America,Consumer Products,10/1/15,Nokemi,Silver,107
Wheel Bearings,United Kingdom,Banking,1/1/15,BDINC,Gold,84
Wiper Gears,United Kingdom,Banking,4/1/15,BDINC,Gold,120
Wiper Gears,United Kingdom,Banking,7/1/15,Nisizu,Silver,23
Wheel Bearings,United Kingdom,Banking,7/1/15,BDINC,Gold,3
Wiper Gears,United Kingdom,Banking,10/1/15,BDINC,Gold,19
Wheel Bearings,Latin America,Manufacturing,10/1/15,Nisizu,Gold,3
Wiper Gears,Latin America,Manufacturing,1/1/15,Nisizu,Gold,10
Hybrid Motors,Latin America,Manufacturing,4/1/15,Nisizu,Gold,5
Lift Supports,Latin America,Manufacturing,7/1/15,Nisizu,Gold,1
Ball Bearings,Latin America,Manufacturing,10/1/15,Nisizu,Gold,22
Clutches,Latin America,Manufacturing,1/1/15,Nisizu,Gold,3
Planetary Gears,Latin America,Manufacturing,4/1/15,Nisizu,Gold,1
Wheel Bearings,Latin America,Manufacturing,1/1/15,Nokemi,Silver,23
Ball Bearings,Latin America,Manufacturing,4/1/15,Nokemi,Gold,17
Ball Bearings,Latin America,Manufacturing,7/1/15,Nokemi,Gold,17
Planetary Gears,Latin America,Manufacturing,10/1/15,Nokemi,Gold,96
Ball Bearings,United Kingdom,Industrial Machinery and Components,1/1/15,Nokemi,Gold,20
Planetary Gears,Germany,Consumer Products,4/1/15,Nokemi,Gold,21
Alternators,Germany,Retail,7/1/15,Nisizu,Gold,11
Wheel Bearings,Western United States,Manufacturing,7/1/15,Nokemi,Gold,10
Wheel Bearings,South East Asia,Chemicals,1/1/15,BDINC,Gold,7
Belt drives,Latin America,Manufacturing,10/1/15,Nisizu,Gold,115
Brake Pads,France,Public Sector,1/1/15,Nisizu,Silver,12
Ball Bearings,Latin America,Consumer Products,10/1/15,BERLIN & DRIVE,Silver,17
