,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
1800,28157e7a-156d-4f46-8863-80d5d675cfe0,641959,Landing Page Submission,Google,No,No,1,6.0,76,3.0,Email Opened,India,Operations Management,Other,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
1804,05d1b0d6-b253-49ff-897f-6112bdfbbac3,641946,Landing Page Submission,Google,No,No,1,6.0,1116,3.0,Email Opened,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Dual Specialization Student,Mumbai,No,No,Email Opened
1813,8e07776b-a0eb-4d0b-921e-542baafa632d,641891,API,Google,No,No,1,8.0,167,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Metro Cities,No,No,Email Opened
1829,12141b50-237c-44b0-9a2c-a9ae0403db80,641715,Landing Page Submission,Google,No,No,1,4.0,1033,4.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
1857,589c2db6-53d7-4022-8fdf-4d86fd432292,641495,Landing Page Submission,Google,No,No,1,3.0,761,3.0,Email Opened,India,Healthcare Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
1864,1b83f36c-540c-4ae6-9aa2-8a5830a1794f,641459,Landing Page Submission,Google,No,No,0,6.0,212,6.0,Email Opened,India,Retail Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1869,0cb30e55-42e9-486a-a4fa-4c900c6f3389,641414,Landing Page Submission,Google,No,No,1,7.0,842,3.5,SMS Sent,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
1892,19565e20-3607-491b-969d-71b40ddbc950,641250,Landing Page Submission,Direct Traffic,No,No,1,2.0,1208,2.0,Email Opened,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
1896,cda4edfc-68bf-4765-907e-145169e91d3f,641213,Landing Page Submission,Google,No,No,0,4.0,441,4.0,Olark Chat Conversation,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
1905,3167169d-7a0a-42b6-9e20-7819c81ae5e9,641138,Landing Page Submission,Google,No,No,1,5.0,914,2.5,SMS Sent,India,International Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
1930,2542d70a-1c2e-4b88-be85-1ff12d7c9de6,640974,Landing Page Submission,Google,No,No,1,4.0,1396,4.0,Email Opened,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Other Cities of Maharashtra,No,No,Email Opened
1932,45dcb4d2-6f44-4ec9-a972-b1718918f143,640969,Landing Page Submission,Google,No,No,1,4.0,1696,4.0,Page Visited on Website,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
1934,e4e4a832-52d0-4097-b27e-c106e46a9407,640957,Landing Page Submission,Direct Traffic,No,No,1,2.0,1020,2.0,Email Opened,India,Supply Chain Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
1941,628e9830-4ec8-43c3-a7c6-747de071801d,640869,API,Google,No,No,0,3.0,382,1.5,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
1973,72bf64d4-df91-4a55-85ed-d11be0f76dae,640525,Landing Page Submission,Google,No,No,1,2.0,882,2.0,Email Opened,India,Operations Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
1994,c0b099d8-3e41-406f-8f57-40d841197590,640364,Landing Page Submission,Google,No,No,1,3.0,694,3.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
2016,54ccbb30-97f2-4161-b3d2-9eceda53bdb7,640135,Landing Page Submission,Google,No,No,1,4.0,1046,4.0,SMS Sent,India,"Banking, Investment And Insurance",Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Modified
2018,345d4648-97e3-4c68-989f-7ee0cc52c9a8,640127,Landing Page Submission,Direct Traffic,No,No,1,1.0,1320,1.0,Email Bounced,India,Marketing Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,No,No,Modified
2024,d64b12e7-50a3-4b29-b32d-cc9f9321810f,640096,API,Google,No,No,1,3.0,92,1.0,SMS Sent,India,IT Projects Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,Might be,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Modified
2029,e2d9a6b3-110c-4edb-8e7f-176532e6d264,640057,Landing Page Submission,Google,No,No,1,10.0,147,2.5,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2032,af7c7fd6-e5c3-4e17-819f-2eb55e534dd2,640035,Landing Page Submission,Google,No,No,1,9.0,128,4.5,Email Opened,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Email Opened
2033,81781fc9-f2f4-4568-9733-fc9de7a2a687,640032,Landing Page Submission,Google,No,No,0,4.0,1614,4.0,Email Opened,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Leads,Mumbai,No,No,Email Opened
2059,1866a4e4-a95e-43d5-833a-589a82c706e6,639754,Landing Page Submission,Google,No,No,0,3.0,1157,3.0,Email Opened,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Leads,Mumbai,No,No,Email Opened
2063,b7c97d7a-10e4-45fa-ba15-58e2b610b2b8,639704,Landing Page Submission,Google,No,No,0,4.0,329,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
2067,411befd4-a6e8-42fd-9635-b5ab30ede64c,639620,Landing Page Submission,Google,No,No,1,8.0,1391,2.67,Email Opened,India,Business Administration,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2088,33c45a38-45d9-4838-8495-903093d397b2,639506,Landing Page Submission,Direct Traffic,No,No,0,2.0,240,2.0,Email Opened,India,IT Projects Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Other Cities,No,No,Modified
2103,f5f40ced-5fb0-46d5-b647-9b502076d793,639408,Landing Page Submission,Google,No,No,1,7.0,940,7.0,Email Opened,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,Yes,Email Opened
2109,94b60093-49cd-41f5-be6e-ebc3c009ae54,639376,Landing Page Submission,Google,No,No,1,3.0,1030,3.0,SMS Sent,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
2171,58073de8-3edf-434d-87bf-cda478b48d6c,638993,Landing Page Submission,Google,No,No,1,5.0,1421,5.0,SMS Sent,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
2172,a5a04bfd-1364-4836-96d9-b15031a98b19,638954,API,Google,No,No,1,12.0,830,2.4,Email Opened,India,E-COMMERCE,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Modified
2195,2211633a-0543-4add-b7ac-59a02dfc49fe,638526,Landing Page Submission,Google,No,No,1,7.0,70,7.0,Had a Phone Conversation,India,"Banking, Investment And Insurance",Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Had a Phone Conversation
2196,886cb9c9-e7cf-414d-bfd9-03844e5abb92,638518,API,Google,No,No,1,4.0,1494,4.0,Email Opened,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
2197,fb240769-8db1-4572-ae96-1ef4ca9187cd,638505,API,Google,No,No,1,3.0,739,3.0,Email Opened,India,Business Administration,Online Search,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2203,d413bc27-b9a0-401a-abf1-b89b933437de,638451,Landing Page Submission,Google,No,No,0,3.0,260,3.0,SMS Sent,India,Retail Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
2223,63ab1f3d-2ab7-4cea-b42f-a8120642df4f,638184,API,Google,No,No,1,6.0,1134,6.0,Page Visited on Website,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Modified
2235,51b746bc-244d-4933-983e-e78799b7faad,638014,Landing Page Submission,Google,No,No,1,7.0,751,7.0,Email Opened,India,Retail Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,No,Email Opened
2257,381b906c-9874-4232-874b-0b2e0695a1b4,637858,Landing Page Submission,Google,No,No,0,4.0,346,4.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Mumbai,No,No,Modified
2281,06e26dfb-64f7-4fe0-808f-816412e8cc3a,637662,Landing Page Submission,Google,No,No,1,5.0,1008,5.0,Email Opened,India,Supply Chain Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
2284,61727e15-109e-44f3-b22c-cac758f22048,637647,Landing Page Submission,Google,No,No,0,2.0,606,2.0,Converted to Lead,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Not Sure,No,No,Potential Lead,Mumbai,No,No,Modified
2293,dd099d91-aa66-4038-b9d6-38079d91dcb9,637539,Landing Page Submission,Organic Search,No,No,0,9.0,221,3.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
2303,be8bc9ee-a912-4b2c-be12-f4983bba4c38,637416,Landing Page Submission,Google,No,No,0,2.0,1552,2.0,Converted to Lead,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
2311,a4cfe6c8-1116-4a3d-823d-c674c2eaf4b8,637379,Landing Page Submission,Google,No,No,1,4.0,885,4.0,SMS Sent,India,Business Administration,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
2356,ee8e15bc-67b9-429a-821f-babafb619e09,637048,API,Google,No,No,1,6.0,1411,1.5,Email Opened,India,"Banking, Investment And Insurance",Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2358,54984c7c-a7a1-4720-a34d-55e0f6e6b5c8,637039,Landing Page Submission,Google,No,No,1,2.0,240,2.0,SMS Sent,India,Finance Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
2398,c347a50a-0970-44d0-ab53-9a92a39516b9,636687,Landing Page Submission,Google,No,No,0,5.0,7,2.5,Page Visited on Website,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
2399,d4decde5-81ba-46b7-8504-3d513651eb63,636679,Landing Page Submission,Google,Yes,No,1,4.0,1452,4.0,SMS Sent,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
2402,eba3410b-fd03-4034-a175-79c8521ca4bb,636665,Landing Page Submission,Google,No,No,1,6.0,866,2.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2412,fb75889f-6664-428c-a697-28934634f03a,636547,Landing Page Submission,Google,No,No,0,5.0,340,2.5,Email Link Clicked,India,Human Resource Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Other Cities of Maharashtra,No,No,Modified
2418,914c1189-25f7-4a5c-95f7-b30c7b8bb98e,636452,Landing Page Submission,Google,No,No,1,8.0,1524,2.67,Olark Chat Conversation,India,Human Resource Management,Other,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
2424,b6c7a141-4ea8-4056-a003-1f9b58c78382,636420,Landing Page Submission,Google,No,No,1,4.0,786,4.0,Email Opened,India,Finance Management,Student of SomeSchool,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Other Metro Cities,No,No,Modified
2431,b68dbcc1-11f9-452c-ba6a-4bfafde751df,636348,Landing Page Submission,Google,No,No,0,2.0,302,2.0,Form Submitted on Website,India,IT Projects Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Modified
2456,6ba97f19-89a6-43d3-b5fe-b7aae842afd5,636112,Landing Page Submission,Google,Yes,No,0,2.0,435,2.0,Olark Chat Conversation,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,No,No,Modified
2497,e5fb32dd-b3b7-4fbf-972d-c13d2cfc6866,635761,API,Google,No,No,1,4.0,1859,2.0,SMS Sent,India,IT Projects Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Modified
2513,31c3877c-b41e-44aa-a9b2-9e56c788c87b,635601,Landing Page Submission,Google,No,No,0,4.0,324,4.0,Email Opened,India,Marketing Management,Multiple Sources,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
2514,c0856353-5b9f-4219-b544-dd3b27e0472e,635587,Landing Page Submission,Google,No,No,1,3.0,1436,3.0,Email Opened,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2523,5d0efd89-0a6f-42c6-91fd-93ea87e4d753,635473,Landing Page Submission,Google,No,No,1,3.0,1231,3.0,SMS Sent,India,Business Administration,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Tier II Cities,No,No,Modified
2524,86a57bf2-3880-476d-8cab-58a6439f2da5,635453,API,Google,No,No,1,4.0,1850,4.0,SMS Sent,India,IT Projects Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
2534,4b7973c9-c7b2-4d06-bd8c-0837af884a58,635351,Landing Page Submission,Google,No,No,1,5.0,1190,2.5,SMS Sent,India,Human Resource Management,Multiple Sources,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
2564,c670af6f-3211-455a-a0fe-93b82dbd1a68,634878,Landing Page Submission,Google,No,No,1,7.0,1380,2.33,Email Opened,India,IT Projects Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
2565,2f560182-beb3-4225-86c9-d9314f8b0bf5,634875,Landing Page Submission,Google,No,No,1,3.0,48,3.0,Email Opened,India,IT Projects Management,Online Search,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,No,No,Email Opened
2574,cedc7d7b-4bd9-4a32-b7f1-0e615e159b2c,634817,Landing Page Submission,Google,No,No,1,4.0,1640,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2590,bf72816d-9765-4f31-ba9d-72e46fbb9644,634690,Landing Page Submission,Google,No,No,1,5.0,841,2.5,SMS Sent,India,Finance Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,No,No,SMS Sent
2604,c6ee01dd-cd3b-40b6-8b83-6f4939457448,634594,Landing Page Submission,Google,No,No,0,5.0,0,2.5,Email Opened,India,Finance Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
2605,2f37186e-ae0d-4287-86a3-1078d2178387,634592,Landing Page Submission,Google,No,No,1,4.0,1552,4.0,Email Opened,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
2625,49ac58dd-08eb-47ad-afca-b9c75c8a11b6,634306,Landing Page Submission,Direct Traffic,No,No,0,6.0,299,2.0,Email Opened,India,Business Administration,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
2689,3edc23ef-e2f6-4733-a985-0c8df253ca8d,633882,Landing Page Submission,Google,No,No,1,5.0,23,5.0,Email Opened,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
2695,ba930bfa-2e1c-4993-b2e9-3a4a166ee8ec,633844,Landing Page Submission,Google,No,No,1,5.0,479,2.5,Email Opened,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
2703,d548459b-dcf4-4ff6-9533-16f32e4d55a3,633778,Landing Page Submission,Google,No,No,1,8.0,68,4.0,Email Opened,India,Finance Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
2722,d0901827-659b-4413-969a-ad77f5074a18,633548,Landing Page Submission,Google,No,No,1,2.0,761,2.0,SMS Sent,India,Operations Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
2727,649caa1e-3042-45e3-9eda-abf5354bb2a3,633476,Landing Page Submission,Google,No,No,1,8.0,1641,4.0,Page Visited on Website,India,Hospitality Management,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Page Visited on Website
2748,2ca3ad57-29d1-4b70-bf70-4db2c71baa08,633307,Landing Page Submission,Google,No,No,1,2.0,1349,2.0,SMS Sent,India,Media and Advertising,SMS,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,No,SMS Sent
2759,66d2e24a-1915-4a0a-87b9-04b5def68420,633143,Landing Page Submission,Direct Traffic,No,No,0,2.0,555,2.0,Email Opened,India,Operations Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
2784,af298c86-fe61-495d-a6ef-5d5a36ff7853,632936,Landing Page Submission,Google,No,No,1,16.0,1253,3.2,Email Link Clicked,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,Email Link Clicked
2809,8a96719e-abfd-4d54-9445-4bf7e2cdc636,632786,Landing Page Submission,Google,No,No,1,3.0,1357,3.0,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Email Opened
2825,884b7c34-d951-497f-b9e6-de959d08d000,632641,Landing Page Submission,Direct Traffic,No,No,0,15.0,69,3.0,Form Submitted on Website,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
2833,37ad667b-408e-4c06-a24f-d5aad381338b,632455,Landing Page Submission,Google,No,No,0,6.0,789,6.0,Email Opened,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
2836,618dfce9-41eb-4f79-a48a-f7d53e20d7d0,632435,Landing Page Submission,Google,No,No,1,5.0,129,2.5,Form Submitted on Website,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
2840,26d36f65-156f-409c-9650-a0e3f36c7394,632387,Landing Page Submission,Google,No,No,0,3.0,26,3.0,Page Visited on Website,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Leads,Mumbai,No,No,Modified
2841,247cb0e1-13f9-41b0-94d5-85c4a539f6cd,632382,API,Google,No,No,1,5.0,921,5.0,SMS Sent,India,Human Resource Management,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Dual Specialization Student,Thane & Outskirts,No,No,Modified
2851,988470a6-9910-4a4a-b4b7-f3fefe09e6e1,632338,Landing Page Submission,Google,No,No,1,3.0,797,3.0,Email Opened,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,Low in Relevance,No,No,Potential Lead,Other Cities,No,No,Modified
2854,7df586e1-b8fc-4932-9f3c-6aa238df55aa,632303,Landing Page Submission,Google,No,No,1,4.0,906,4.0,SMS Sent,India,Marketing Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
2857,0773c873-ecda-40a1-9b9a-82f8be0428dd,632269,API,Google,No,No,1,4.0,343,4.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2875,d9037d60-131f-4630-9c89-f32e9e068bc4,632132,Landing Page Submission,Google,No,No,1,11.0,442,5.5,Email Opened,India,Finance Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2881,fa1bf610-7a79-48ea-aec9-aefff7f4b779,632032,Landing Page Submission,Organic Search,No,No,0,7.0,448,2.33,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
2888,93ab68d8-cc6b-40a7-bfc2-d529981f9b56,631967,Landing Page Submission,Google,No,No,1,12.0,766,6.0,Email Opened,India,Travel and Tourism,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
2894,e212f90f-87b5-493f-b1ef-7a45bdc53d84,631889,Landing Page Submission,Google,No,No,1,5.0,1287,5.0,SMS Sent,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
2896,0c8482f9-abe2-46ac-a93e-f604353f0df4,631864,Landing Page Submission,Google,No,No,1,2.0,1290,2.0,Converted to Lead,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
