Option,Explanation
--disable-es3-gl-context-for-testing ,"Disables use of ES3 backend at a lower level, for testing purposes. This isn't guaranteed to work everywhere, so it's test-only."
--disable-explicit-dma-fences ,Disable explicit DMA-fences
--disable-extensions ,Disable extensions.
--disable-extensions-except ,Disable extensions except those specified in a comma-separated list.
--disable-extensions-file-access-check ,"Disable checking for user opt-in for extensions that want to inject script into file URLs (ie, always allow it). This is used during automated testing."
--disable-extensions-http-throttling ,Disable the net::URLRequestThrottlerManager functionality for requests originating from extensions.
--disable-features ,Comma-separated list of feature names to disable. See also kEnableFeatures.
--disable-field-trial-config ,Disable field trial tests configured in fieldtrial_testing_config.json.
--disable-file-system ,Disable FileSystem API.
--disable-fine-grained-time-zone-detection ,Disables fine grained time zone detection.
--disable-flash-3d ,Disable 3D inside of flapper.
--disable-flash-stage3d ,Disable Stage3D inside of flapper.
--disable-font-subpixel-positioning ,"Force disables font subpixel positioning. This affects the character glyph sharpness, kerning, hinting and layout."
--disable-frame-rate-limit ,Disables begin frame limiting in both cc scheduler and display scheduler. Also implies --disable-gpu-vsync (see //ui/gl/gl_switches.h).
--disable-gaia-services ,Disables GAIA services such as enrollment and OAuth session restore. Used by 'fake' telemetry login.
--disable-gesture-requirement-for-presentation ,Disable user gesture requirement for presentation.
--disable-gl-drawing-for-tests ,Disables GL drawing operations which produce pixel output. With this the GL output will not be correct but tests will run faster.
--disable-gl-error-limit ,Disable the GL error log limit.
--disable-gl-extensions ,Disables specified comma separated GL Extensions if found.
--disable-glsl-translator ,Disable the GLSL translator.
--disable-gpu ,"Disables GPU hardware acceleration. If software renderer is not in place, then the GPU process won't launch."
--disable-gpu-appcontainer[1] ,Disables AppContainer sandbox on the GPU process.
--disable-gpu-compositing ,Prevent the compositor from using its GPU implementation.
--disable-gpu-driver-bug-workarounds ,Disable workarounds for various GPU driver bugs.
--disable-gpu-early-init ,Disable proactive early init of GPU process.
--disable-gpu-lpac[1] ,Disables low-privilege AppContainer sandbox on the GPU process.
--disable-gpu-memory-buffer-compositor-resources ,Do not force that all compositor resources be backed by GPU memory buffers.
--disable-gpu-memory-buffer-video-frames ,Disable GpuMemoryBuffer backed VideoFrames.
--disable-gpu-process-crash-limit ,"For tests, to disable the limit on the number of times the GPU process may be restarted."
--disable-gpu-process-for-dx12-vulkan-info-collection ,Disables the non-sandboxed GPU process for DX12 and Vulkan info collection
--disable-gpu-program-cache ,Turn off gpu program caching
--disable-gpu-rasterization ,"Disable GPU rasterization, i.e. rasterize on the CPU only. Overrides the kEnableGpuRasterization and kForceGpuRasterization flags."
--disable-gpu-sandbox ,Disables the GPU process sandbox.
--disable-gpu-shader-disk-cache ,Disables the GPU shader on disk cache.
--disable-gpu-vsync ,Stop the GPU from synchronizing presentation with vblank.
--disable-gpu-watchdog ,Disable the thread that crashes the GPU process if it stops responding to messages.
--disable-hang-monitor ,"Suppresses hang monitor dialogs in renderer processes. This may allow slow unload handlers on a page to prevent the tab from closing, but the Task Manager can be used to terminate the offending process in this case."
--disable-headless-mode ,Disables the shell from beginning in headless mode. Tests will then attempt to use the hardware GPU for rendering. This is only followed when kRunWebTests is set.
--disable-hid-detection-on-oobe ,Disables HID-detection OOBE screen.
--disable-highres-timer[1] ,Disable high-resolution timer on Windows.
--disable-histogram-customizer ,Disable the RenderThread's HistogramCustomizer.
--disable-hosted-app-shim-creation[7] ,Disables app shim creation for hosted apps on Mac.
--disable-image-animation-resync ,Disallow image animations to be reset to the beginning to avoid skipping many frames. Only effective if compositor image animations are enabled.
--disable-in-process-stack-traces ,Disables the in-process stack traces.
--disable-ios-password-suggestions ,Disable showing available password credentials in the keyboard accessory view when focused on form fields.
--disable-ipc-flooding-protection ,Disables the IPC flooding protection. It is activated by default. Some javascript functions can be used to flood the browser process with IPC. This protection limits the rate at which they can be used.
--disable-javascript-harmony-shipping ,Disable latest shipping ECMAScript 6 features.
--disable-kill-after-bad-ipc ,"Don't kill a child process when it sends a bad IPC message. Apart from testing, it is a bad idea from a security perspective to enable this switch."
--disable-lcd-text ,Disables LCD text.
--disable-legacy-window[1] ,Disable the Legacy Window which corresponds to the size of the WebContents.
--disable-local-storage ,Disable LocalStorage.
--disable-logging ,Force logging to be disabled. Logging is enabled by default in debug builds.
--disable-logging-redirect[6] ,Disables logging redirect for testing.
--disable-login-animations ,Avoid doing expensive animations upon login.
--disable-login-screen-apps[6] ,"Disables apps on the login screen. By default, they are allowed and can be installed through policy."
--disable-low-end-device-mode ,Force disabling of low-end device mode when set.
--disable-low-latency-dxva ,Disables using CODECAPI_AVLowLatencyMode when creating DXVA decoders.
--disable-low-res-tiling ,"When using CPU rasterizing disable low resolution tiling. This uses less power, particularly during animations, but more white may be seen during fast scrolling especially on slower devices."
--disable-mac-overlays[11] ,"Fall back to using CAOpenGLLayers display content, instead of the IOSurface based overlay display path."
--disable-machine-cert-request ,Disables requests for an enterprise machine certificate during attestation.
--disable-main-frame-before-activation ,Disables sending the next BeginMainFrame before the previous commit activates. Overrides the kEnableMainFrameBeforeActivation flag.
--disable-media-session-api[8] ,Disable Media Session API
--disable-media-suspend ,No description
--disable-modal-animations[11] ,Disable animations for showing and hiding modal dialogs.
--disable-mojo-renderer ,"Rather than use the renderer hosted remotely in the media service, fall back to the default renderer within content_renderer. Does not change the behavior of the media service."
--disable-multi-display-layout ,Disables the multiple display layout UI.
--disable-namespace-sandbox ,Disables usage of the namespace sandbox.
--disable-new-content-rendering-timeout ,Disables clearing the rendering output of a renderer when it didn't commit new output for a while after a top-frame navigation.
--disable-notifications ,Disables the Web Notification and the Push APIs.
--disable-nv12-dxgi-video ,Disables the video decoder from drawing to an NV12 textures instead of ARGB.
--disable-offer-store-unmasked-wallet-cards ,Force hiding the local save checkbox in the autofill dialog box for getting the full credit card number for a wallet card. The card will never be stored locally.
--disable-oop-rasterization ,Disables OOP rasterization. Takes precedence over the enable flag.
--disable-origin-trial-controlled-blink-features ,Disables all RuntimeEnabledFeatures that can be enabled via OriginTrials.
--disable-overscroll-edge-effect[8] ,Disable overscroll edge effects like those found in Android views.
--disable-partial-raster ,Disable partial raster in the renderer. Disabling this switch also disables the use of persistent gpu memory buffers.
--disable-pepper-3d ,Disable Pepper3D.
--disable-pepper-3d-image-chromium ,Disable Image Chromium for Pepper 3d.
--disable-per-user-timezone ,Disables per-user timezone.
--disable-perfetto ,"Disables the perfetto tracing backend. We need a separate command line argument from the kTracingPerfettoBackend feature, because feature flags are parsed too late during startup for early startup tracing support."
--disable-permissions-api ,Disables the Permissions API.
--disable-pinch ,Disables compositor-accelerated touch-screen pinch gestures.
--disable-pnacl-crash-throttling ,Disables crash throttling for Portable Native Client.
--disable-popup-blocking ,Disable pop-up blocking.
--disable-prefer-compositing-to-lcd-text ,Disable the creation of compositing layers when it would prevent LCD text.
--disable-presentation-api ,Disables the Presentation API.
--disable-print-preview ,"Disables print preview (For testing, and for users who don't like us. :[ )"
--disable-prompt-on-repost ,Normally when the user attempts to navigate to a page that was the result of a post we prompt to make sure they want to. This switch may be used to disable that check. This switch is used during automated testing.
--disable-pull-to-refresh-effect[8] ,Disable the pull-to-refresh effect when vertically overscrolling content.
--disable-pushstate-throttle ,Disables throttling of history.pushState/replaceState calls.
--disable-reading-from-canvas ,"Taints all <canvas> elements, regardless of origin."
--disable-remote-core-animation[11] ,Disable use of cross-process CALayers to display content directly from the GPU process on Mac.
--disable-remote-fonts ,Disables remote web font support. SVG font should always work whether this option is specified or not.
--disable-remote-playback-api ,Disables the RemotePlayback API.
--disable-renderer-accessibility ,Turns off the accessibility in the renderer.
--disable-renderer-backgrounding ,Prevent renderer process backgrounding when set.
--disable-resource-scheduler ,Whether the ResourceScheduler is disabled. Note this is only useful for C++ Headless embedders who need to implement their own resource scheduling.
--disable-rgba-4444-textures ,Disables RGBA_4444 textures.
--disable-rollback-option ,Disables rollback option on reset screen.
--disable-rtc-smoothness-algorithm ,"Disables the new rendering algorithm for webrtc, which is designed to improve the rendering smoothness."
--disable-screen-orientation-lock[8] ,Disable the locking feature of the screen orientation API.
--disable-search-geolocation-disclosure ,Disables showing the search geolocation disclosure UI. Used for perf testing.
--disable-seccomp-filter-sandbox ,Disable the seccomp filter sandbox (seccomp-bpf) (Linux only).
--disable-setuid-sandbox ,Disable the setuid sandbox (Linux only).
--disable-shader-name-hashing ,Turn off user-defined name hashing in shaders.
--disable-shared-workers ,Disable shared workers.
--disable-signin-frame-client-cert-user-selection ,Disables user selection of client certificate on the sign-in frame on the Chrome OS sign-in profile. TODO(pmarko): Remove this flag in M-65 when the DeviceLoginScreenAutoSelectCertificateForUrls policy is enabled on the server side (https://crbug.com/723849) and completely disable user selection of certificates on the sign-in frame.
--disable-signin-frame-client-certs ,Disables client certificate authentication on the sign-in frame on the Chrome OS sign-in profile. TODO(pmarko): Remove this flag in M-66 if no issues are found (https://crbug.com/723849).
--disable-signin-scoped-device-id ,Disables sending signin scoped device id to LSO with refresh token request.
--disable-site-isolation-for-policy[8] ,"Just like kDisableSiteIsolation, but doesn't show the ""stability and security will suffer"" butter bar warning."
--disable-site-isolation-trials ,"Disables site isolation. Note that the opt-in (to site-per-process, isolate-origins, etc.) via enterprise policy and/or cmdline takes precedence over the kDisableSiteIsolation switch (i.e. the opt-in takes effect despite potential presence of kDisableSiteIsolation switch). Note that for historic reasons the name of the switch misleadingly mentions ""trials"", but the switch also disables the default site isolation that ships on desktop since M67. The name of the switch is preserved for backcompatibility of chrome://flags."
--disable-skia-runtime-opts ,Do not use runtime-detected high-end CPU optimizations in Skia. This is useful for forcing a baseline code path for e.g. web tests.
--disable-smooth-scrolling ,Disable smooth scrolling for testing.
--disable-software-compositing-fallback ,"For tests, to disable falling back to software compositing if the GPU Process has crashed, and reached the GPU Process crash limit."
--disable-software-rasterizer ,Disables the use of a 3D software rasterizer.
--disable-speech-api ,Disables the Web Speech API (both speech recognition and synthesis).
--disable-speech-synthesis-api ,Disables the speech synthesis part of Web Speech API.
--disable-sync ,Disables syncing browser data to a Google Account.
--disable-sync-types ,"Disables syncing one or more sync data types that are on by default. See sync/base/model_type.h for possible types. Types should be comma separated, and follow the naming convention for string representation of model types, e.g.: --disable-synctypes='Typed URLs, Bookmarks, Autofill Profiles'"
--disable-test-root-certs ,Disables adding the test certs in the network process.
--disable-third-party-keyboard-workaround ,Disables the 3rd party keyboard omnibox workaround.
--disable-threaded-animation ,No description
--disable-threaded-compositing ,Disable multithreaded GPU compositing of web content.
--disable-threaded-scrolling ,"Disable multithreaded, compositor scrolling of web content."
--disable-timeouts-for-profiling[8] ,Disable timeouts that may cause the browser to die when running slowly. This is useful if running with profiling (such as debug malloc).
--disable-touch-adjustment ,Disables touch adjustment.
--disable-touch-drag-drop ,Disables touch event based drag and drop.
--disable-usb-keyboard-detect[1] ,Disables the USB keyboard detection for blocking the OSK on Win8+.
--disable-v8-idle-tasks ,Disable V8 idle tasks.
--disable-volume-adjust-sound ,Disables volume adjust sound.
--disable-vsync-for-tests ,No description
--disable-vulkan-fallback-to-gl-for-testing ,Disables falling back to GL based hardware rendering if initializing Vulkan fails. This is to allow tests to catch regressions in Vulkan.
--disable-vulkan-surface ,"Disables VK_KHR_surface extension. Instead of using swapchain, bitblt will be used for present render result on screen."
--disable-wake-on-wifi ,Disables wake on wifi features.
--disable-web-security ,Don't enforce the same-origin policy. (Used by people testing their sites.)
--disable-webgl ,Disable all versions of WebGL.
--disable-webgl-image-chromium ,Disables WebGL rendering into a scanout buffer for overlay support.
--disable-webgl2 ,Disable WebGL2.
--disable-webrtc-encryption ,"Disables encryption of RTP Media for WebRTC. When Chrome embeds Content, it ignores this switch on its stable and beta channels."
--disable-webrtc-hw-decoding ,Disables HW decode acceleration for WebRTC.
--disable-webrtc-hw-encoding ,Disables HW encode acceleration for WebRTC.
--disable-win32k-lockdown ,Disables the Win32K process mitigation policy for child processes.
--disable-windows10-custom-titlebar[1] ,Disables custom-drawing the window titlebar on Windows 10.
--disable-xr-device-consent-prompt-for-testing ,"Disables prompting the user for consent before fulfilling WebXR's requestSession(). Use only when absolutely necessary, such as for perf tests."
--disable-yuv-image-decoding ,Disable YUV image decoding for those formats and cases where it's supported. Has no effect unless GPU rasterization is enabled.
--disable-zero-browsers-open-for-tests ,"Some tests seem to require the application to close when the last browser window is closed. Thus, we need a switch to force this behavior for ChromeOS Aura, disable ""zero window mode"". TODO(pkotwicz): Investigate if this bug can be removed. (http://crbug.com/119175)"
--disable-zero-copy ,Disable rasterizer that writes directly to GPU memory associated with tiles.
--disable-zero-copy-dxgi-video ,Disable the video decoder from drawing directly to a texture.
--disabled ,No description
--disallow-non-exact-resource-reuse ,Disable re-use of non-exact resources to fulfill ResourcePool requests. Intended only for use in layout or pixel tests to reduce noise.
--disk-cache-dir ,"Use a specific disk cache location, rather than one derived from the UserDatadir."
--disk-cache-size ,"Forces the maximum disk space to be used by the disk cache, in bytes."
--display[14] ,"Which X11 display to connect to. Emulates the GTK+ ""--display="" command line argument."
--dmg-device[7] ,"When switches::kProcessType is switches::kRelauncherProcess, if this switch is also present, the relauncher process will unmount and eject a mounted disk image and move its disk image file to the trash. The argument's value must be a BSD device name of the form ""diskN"" or ""diskNsM""."
--dns-log-details ,No description
--document-user-activation-required ,Autoplay policy that requires a document user activation.
--dom-automation ,Specifies if the |DOMAutomationController| needs to be bound in the renderer. This binding happens on per-frame basis and hence can potentially be a performance bottleneck. One should only enable it when automating dom based tests.
--dont-require-litepage-redirect-infobar ,Do not require the user notification InfoBar to be shown before triggering a Lite Page Redirect preview.
--draw-view-bounds-rects ,Draws a semitransparent rect to indicate the bounds of each view.
--dump-blink-runtime-call-stats ,Logs Runtime Call Stats for Blink. --single-process also needs to be used along with this for the stats to be logged.
--dump-browser-histograms ,Requests that a running browser process dump its collected histograms to a given file. The file is overwritten if it exists.
--dump-dom ,Instructs headless_shell to print document.body.innerHTML to stdout.
--dump-raw-logs ,"Dump the raw logs to a file with the same base name as the executable. The dumped file is a raw protobuf and has a ""pb"" extension. WARNING: this switch is used by internal test systems. Be careful when making changes."
--easy-unlock-app-path ,Overrides the path of Easy Unlock component app.
--edge-touch-filtering[12] ,Tells Chrome to do edge touch filtering. Useful for convertible tablet.
--egl ,No description
--elevate ,No description
--elevated ,"Identify that the process is already supposed to be elevated, so that we don't try again."
--embedded-extension-options ,Enables extension options to be embedded in chrome://extensions rather than a new tab.
--emulate-shader-precision ,Emulate ESSL lowp and mediump float precisions by mutating the shaders to round intermediate values in ANGLE.
--enable-accelerated-2d-canvas ,Enable accelerated 2D canvas.
--enable-accessibility-object-model ,Enable the experimental Accessibility Object Model APIs in development.
--enable-accessibility-tab-switcher[8] ,Enable the accessibility tab switcher.
--enable-adaptive-selection-handle-orientation[8] ,Enable inverting of selection handles so that they are not clipped by the viewport boundaries.
--enable-aggressive-domstorage-flushing ,Enable the aggressive flushing of DOM Storage to minimize data loss.
--enable-angle-features ,ANGLE features are defined per-backend in third_party/angle/include/platform Enables specified comma separated ANGLE features if found.
--enable-app-list ,"If set, the app list will be enabled as if enabled from CWS."
--enable-appcontainer ,Ensable appcontainer/lowbox for renderer on Win8+ platforms.
--enable-arc ,DEPRECATED. Please use --arc-availability=officially-supported. Enables starting the ARC instance upon session start.
--enable-arc-oobe-optin-no-skip ,"Enables ""hide Skip button"" for ARC setup in the OOBE flow."
--enable-arcvm ,Enables ARC VM.
--enable-audio-debug-recordings-from-extension ,"If the WebRTC logging private API is active, enables audio debug recordings."
--enable-auto-reload ,Enable auto-reload of error pages.
--enable-automation ,Enable indication that browser is controlled by automation.
--enable-background-tracing ,Enables background and upload trace to trace-upload-url. Trigger rules are pass as an argument.
--enable-begin-frame-control ,Whether or not begin frames should be issued over DevToolsProtocol (experimental).
--enable-benchmarking ,TODO(asvitkine): Consider removing or renaming this functionality. Enables the benchmarking extensions.
--enable-ble-advertising-in-apps ,Enable BLE Advertisiing in apps.
--enable-blink-features ,"Enable one or more Blink runtime-enabled features. Use names from runtime_enabled_features.json5, separated by commas. Applied before kDisableBlinkFeatures, and after other flags that change these features."
--enable-bookmark-undo ,Enables the multi-level undo system for bookmarks.
--enable-caret-browsing ,"Enable native caret browsing, in which a moveable cursor is placed on a web page, allowing a user to select and navigate through non-editable text using just a keyboard. See https://crbug.com/977390 for links to i2i."
--enable-cast-receiver ,Enables the Cast Receiver.
--enable-chrome-tracing-computation ,Enable the tracing service.
--enable-cloud-print-proxy ,"This applies only when the process type is ""service"". Enables the Cloud Print Proxy component within the service process."
--enable-cloud-print-xps[1] ,Fallback to XPS. By default connector uses CDD.
--enable-consumer-kiosk ,Enables consumer kiosk mode for Chrome OS.
--enable-crash-reporter ,Enable crash reporter for headless.
--enable-crash-reporter-for-testing[15] ,Used for turning on Breakpad crash reporting in a debug environment where crash reporting is typically compiled but disabled.
--enable-crx-hash-check ,Enable package hash check: the .crx file sha256 hash sum should be equal to the one received from update manifest.
--enable-data-reduction-proxy-bypass-warning ,Enable the data reduction proxy bypass warning.
--enable-data-reduction-proxy-force-pingback ,Enables sending a pageload metrics pingback after every page load.
--enable-data-reduction-proxy-savings-promo ,Enables a 1 MB savings promo for the data reduction proxy.
--enable-defer-all-script-without-optimization-hints ,Allows defer script preview on all https pages even if optimization hints are missing for that webpage.
--enable-device-discovery-notifications ,Enable device discovery notifications.
--enable-devtools-experiments ,If true devtools experimental settings are enabled.
--enable-direct-composition-layers ,"Enables using DirectComposition layers, even if hardware overlays aren't supported."
--enable-distillability-service ,No description
--enable-dom-distiller ,No description
--enable-domain-reliability ,Enables Domain Reliability Monitoring.
--enable-encryption-migration ,Enables encryption migration for user's cryptohome to run latest Arc.
--enable-encryption-selection[9] ,Enables the feature of allowing the user to disable the backend via a setting.
--enable-exclusive-audio[1] ,Use exclusive mode audio streaming for Windows Vista and higher. Leads to lower latencies for audio streams which uses the AudioParameters::AUDIO_PCM_LOW_LATENCY audio path. See http://msdn.microsoft.com/en-us/library/windows/desktop/dd370844.aspx for details.
--enable-experimental-accessibility-autoclick ,Shows additional automatic click features that haven't launched yet.
--enable-experimental-accessibility-chromevox-language-switching ,Enables language switching feature that hasn't launched yet.
--enable-experimental-accessibility-features ,Shows additional checkboxes in Settings to enable Chrome OS accessibility features that haven't launched yet.
--enable-experimental-accessibility-labels-debugging ,"Enables support for visually debugging the accessibility labels feature, which provides images descriptions for screen reader users."
--enable-experimental-accessibility-language-detection ,Enables language detection on in-page text content which is then exposed to accessibility technology such as screen readers.
--enable-experimental-accessibility-switch-access ,Shows setting to enable Switch Access before it has launched.
--enable-experimental-accessibility-switch-access-text ,Enables in progress Switch Access features for text input.
--enable-experimental-extension-apis ,Enables extension APIs that are in development.
--enable-experimental-ui-automation[1] ,Toggles between IAccessible and UI Automation platform API.
--enable-experimental-web-platform-features ,Enables Web Platform features that are in development.
--enable-extension-activity-log-testing ,No description
--enable-extension-activity-logging ,Enables logging for extension activity.
--enable-extension-assets-sharing ,Enables sharing assets for installed default apps.
--enable-features ,Comma-separated list of feature names to enable. See also kDisableFeatures.
--enable-first-run-ui-transitions ,Enables animated transitions during first-run tutorial. TODO(https://crbug.com/945966): Remove this.
--enable-font-antialiasing ,Enable font antialiasing for pixel tests.
--enable-fullscreen-toolbar-reveal[7] ,Enables the fullscreen toolbar to reveal itself for tab strip changes.
--enable-gamepad-button-axis-events ,"Enables gamepadbuttondown, gamepadbuttonup, gamepadbuttonchange, gamepadaxismove non-standard gamepad events."
--enable-gpu-appcontainer[1] ,Enables AppContainer sandbox on the GPU process.
--enable-gpu-benchmarking ,Enables the GPU benchmarking extension
--enable-gpu-client-logging ,Enable GPU client logging.
--enable-gpu-client-tracing ,Enables TRACE for GL calls in the renderer.
--enable-gpu-command-logging ,Turn on Logging GPU commands.
--enable-gpu-debugging ,Turn on Calling GL Error after every command.
--enable-gpu-driver-debug-logging ,Enable logging of GPU driver debug messages.
--enable-gpu-memory-buffer-compositor-resources ,Specify that all compositor resources should be backed by GPU memory buffers.
--enable-gpu-memory-buffer-video-frames ,Enable GpuMemoryBuffer backed VideoFrames.
--enable-gpu-rasterization ,Allow heuristics to determine when a layer tile should be drawn with the Skia GPU backend. Only valid with GPU accelerated compositing + impl-side painting.
--enable-gpu-service-logging ,Turns on GPU logging (debug build only).
--enable-gpu-service-tracing ,Turns on calling TRACE for every GL call.
--enable-hardware-overlays ,"Enable compositing individual elements via hardware overlays when permitted by device. Setting the flag to ""single-fullscreen"" will try to promote a single fullscreen overlay and use it as main framebuffer where possible."
--enable-hosted-app-quit-notification[7] ,Shows a notification when quitting Chrome with hosted apps running. Default behavior is to also quit all hosted apps.
--enable-hung-renderer-infobar[8] ,Enables a hung renderer InfoBar allowing the user to close or wait on unresponsive web content.
--enable-input ,Enables input event handling by the window manager.
--enable-ios-handoff-to-other-devices ,Enables support for Handoff from Chrome on iOS to the default browser of other Apple devices.
--enable-lcd-text ,Enables LCD text.
--enable-leak-detection ,Enables the leak detection of loading webpages. This allows us to check whether or not reloading a webpage releases web-related objects correctly.
--enable-local-file-accesses ,Enable file accesses. It should not be enabled for most Cast devices.
--enable-local-sync-backend ,Enabled the local sync backend implemented by the LoopbackServer.
--enable-logging ,Controls whether console logging is enabled and optionally configures where it's routed.
--enable-longpress-drag-selection[8] ,Enable drag manipulation of longpress-triggered text selections.
--enable-low-end-device-mode ,Force low-end device mode when set.
--enable-low-res-tiling ,When using CPU rasterizing generate low resolution tiling. Low res tiles may be displayed during fast scrolls especially on slower devices.
--enable-machine-level-user-cloud-policy[16] ,Enables Machine level user cloud policy on Chromium build. This policy is always enabled on the branded builds.
--enable-main-frame-before-activation ,Enables sending the next BeginMainFrame before the previous commit activates.
--enable-market-opt-in ,Enables the marketing opt-in screen in OOBE.
--enable-media-suspend ,Suspend media pipeline on background tabs.
--enable-nacl ,Runs the Native Client inside the renderer process and enables GPU plugin (internally adds lEnableGpuPlugin to the command line).
--enable-nacl-debug ,Enables debugging via RSP over a socket.
--enable-nacl-nonsfi-mode ,"Enables Non-SFI mode, in which programs can be run without NaCl's SFI sandbox."
--enable-native-gpu-memory-buffers ,Enable native CPU-mappable GPU memory buffer support on Linux.
--enable-natural-scroll-default ,Enables natural scroll by default.
--enable-navigation-tracing ,"Enables tracing for each navigation. It will attempt to trace each navigation for 10s, until the buffer is full, or until the next navigation. It only works if a URL was provided by --trace-upload-url."
--enable-net-benchmarking ,Enables the network-related benchmarking extensions.
--enable-network-information-downlink-max ,"Enables the type, downlinkMax attributes of the NetInfo API. Also, enables triggering of change attribute of the NetInfo API when there is a change in the connection type."
--enable-new-app-menu-icon[17] ,No description
--enable-ntp-search-engine-country-detection ,Enables using the default search engine country to show country specific popular sites on the NTP.
--enable-offer-store-unmasked-wallet-cards ,Force showing the local save checkbox in the autofill dialog box for getting the full credit card number for a wallet card.
--enable-oop-rasterization ,Turns on out of process raster for the renderer whenever gpu raster would have been used. Enables the chromium_raster_transport extension.
--enable-oop-rasterization-ddl ,Turns on skia deferred display list for out of process raster.
--enable-override-bookmarks-ui ,Enables extensions to hide bookmarks UI elements.
--enable-partial-raster ,Enable partial raster in the renderer.
--enable-pepper-testing ,Enables the testing interface for PPAPI.
--enable-perfetto ,"Enables the perfetto tracing backend. We need a separate command line argument from the kTracingPerfettoBackend feature, because feature flags are parsed too late during startup for early startup tracing support."
--enable-pixel-output-in-tests ,Forces tests to produce pixel output when they normally wouldn't.
--enable-plugin-placeholder-testing ,Enables testing features of the Plugin Placeholder. For internal use only.
--enable-potentially-annoying-security-features ,"Enables a number of potentially annoying security features (strict mixed content mode, powerful feature restrictions, etc.)"
--enable-precise-memory-info ,"Make the values returned to window.performance.memory more granular and more up to date in shared worker. Without this flag, the memory information is still available, but it is bucketized and updated less frequently. This flag also applys to workers."
--enable-prefer-compositing-to-lcd-text ,Enable the creation of compositing layers when it would prevent LCD text.
--enable-print-browser ,"Enables PrintBrowser mode, in which everything renders as though printed."
--enable-profile-shortcut-manager[1] ,Force-enables the profile shortcut manager. This is needed for tests since they use a custom-user-data-dir which disables this.
--enable-reached-code-profiler[8] ,Enables the reached code profiler that samples all threads in all processes to determine which functions are almost never executed.
--enable-reporting[13] ,Enables metrics and crash reporting.
--enable-request-tablet-site ,Enables request of tablet site (via user agent override).
--enable-rgba-4444-textures ,Enables RGBA_4444 textures.
--enable-sandbox-logging[7] ,Cause the OS X sandbox write to syslog every time an access to a resource is denied by the sandbox.
--enable-service-binary-launcher ,If true the ServiceProcessLauncher is used to launch services. This allows for service binaries to be loaded rather than using the utility process. This is only useful for tests.
--enable-service-manager-tracing ,Enable the tracing service.
--enable-sgi-video-sync ,"Enable use of the SGI_video_sync extension, which can have driver/sandbox/window manager compatibility issues."
--enable-skia-benchmarking ,Enables the Skia benchmarking extension
--enable-smooth-scrolling ,"On platforms that support it, enables smooth scroll animation."
--enable-spatial-navigation ,Enable spatial navigation
--enable-spdy-proxy-auth ,Enable the data reduction proxy.
--enable-speech-dispatcher[13] ,"Allows sending text-to-speech requests to speech-dispatcher, a common Linux speech service. Because it's buggy, the user must explicitly enable it so that visiting a random webpage can't cause instability."
--enable-spotlight-actions ,Enables the Spotlight actions.
--enable-stats-collection-bindings ,Specifies if the |StatsCollectionController| needs to be bound in the renderer. This binding happens on per-frame basis and hence can potentially be a performance bottleneck. One should only enable it when running a test that needs to access the provided statistics.
--enable-strict-mixed-content-checking ,"Blocks all insecure requests from secure contexts, and prevents the user from overriding that decision."
--enable-strict-powerful-feature-restrictions ,"Blocks insecure usage of a number of powerful features (device orientation, for example) that we haven't yet deprecated for the web at large."
--enable-subresource-redirect ,Feature flag to enable HTTPS subresource internal redirects to compressed versions.
--enable-swap-buffers-with-bounds ,Enables SwapBuffersWithBounds if it is supported.
--enable-third-party-keyboard-workaround ,Enables the 3rd party keyboard omnibox workaround.
--enable-thread-instruction-count[18] ,Controls whether or not retired instruction counts are surfaced for threads in trace events on Linux. This flag requires the BPF sandbox to be disabled.
--enable-threaded-compositing ,Enabled threaded compositing for web tests.
--enable-threaded-texture-mailboxes ,Simulates shared textures when share groups are not available. Not available everywhere.
--enable-top-drag-gesture ,Whether to enable detection and dispatch of a 'drag from the top' gesture.
--enable-touch-calibration-setting ,Enables the touch calibration option in MD settings UI for valid touch displays.
--enable-touch-drag-drop ,Enables touch event based drag and drop.
--enable-touchpad-three-finger-click ,Enables touchpad three-finger-click as middle button.
--enable-touchview ,"If the flag is present, it indicates 1) the device has accelerometer and 2) the device is a convertible device or a tablet device (thus is capable of entering tablet mode). If this flag is not set, then the device is not capable of entering tablet mode. For example, Samus has accelerometer, but is not a covertible or tablet, thus doesn't have this flag set, thus can't enter tablet mode."
--enable-trace-app-source ,Pass launch source to platform apps.
--enable-tracing ,Enable tracing during the execution of browser tests.
--enable-tracing-output ,The filename to write the output of the test tracing to.
--enable-ui-devtools ,"Enables DevTools server for UI (mus, ash, etc). Value should be the port the server is started on. Default port is 9223."
--enable-unsafe-webgpu ,No description
--enable-use-zoom-for-dsf ,Enable the mode that uses zooming to implment device scale factor behavior.
--enable-user-metrics[7] ,Enable user metrics from within the installer.
--enable-usermedia-screen-capturing ,Enable screen capturing support for MediaStream API.
--enable-viewport ,"Enables the use of the @viewport CSS rule, which allows pages to control aspects of their own layout. This also turns on touch-screen pinch gestures."
--enable-virtual-keyboard ,No description
--enable-viz-devtools ,Enables inspecting Viz Display Compositor objects. Default port is 9229. For local inspection use chrome://inspect#other
--enable-viz-hit-test-debug ,Enables hit-test debug logging.
--enable-vtune-support ,Enable the Vtune profiler support.
--enable-wayland-ime ,Try to enable wayland input method editor.
--enable-wayland-server ,Enable the wayland server.
--enable-web-authentication-testing-api ,Enable the Web Authentication Testing API. https://w3c.github.io/webauthn
